dataset,method,family,seed,fpr,tpr
cub200,m1_glfc,F1,0,0.0,0.0
cub200,m1_glfc,F1,0,0.0001,0.0015671678338802096
cub200,m1_glfc,F1,0,0.00010473708979594497,0.0015671678338802096
cub200,m1_glfc,F1,0,0.00010969857978923841,0.0015671678338802096
cub200,m1_glfc,F1,0,0.00011489510001873086,0.0015671678338802096
cub200,m1_glfc,F1,0,0.00012033778407775893,0.0015671678338802096
cub200,m1_glfc,F1,0,0.00012603829296797275,0.0015671678338802096
cub200,m1_glfc,F1,0,0.0001320088400831418,0.0015671678338802096
cub200,m1_glfc,F1,0,0.00013826221737646565,0.0015671678338802096
cub200,m1_glfc,F1,0,0.0001448118227674533,0.0015671678338802096
cub200,m1_glfc,F1,0,0.00015167168884709225,0.0024486997404378273
cub200,m1_glfc,F1,0,0.00015885651294280528,0.0024486997404378273
cub200,m1_glfc,F1,0,0.0001663816886076129,0.0024486997404378273
cub200,m1_glfc,F1,0,0.00017426333860096508,0.0024486997404378273
cub200,m1_glfc,F1,0,0.00018251834943190426,0.0024486997404378273
cub200,m1_glfc,F1,0,0.00019116440753857018,0.0024486997404378273
cub200,m1_glfc,F1,0,0.00020022003718155845,0.0026935697144816104
cub200,m1_glfc,F1,0,0.00020970464013232327,0.0026935697144816104
cub200,m1_glfc,F1,0,0.0002196385372416547,0.0026935697144816104
cub200,m1_glfc,F1,0,0.0002300430119772917,0.0026935697144816104
cub200,m1_glfc,F1,0,0.00024094035602395243,0.0026935697144816104
cub200,m1_glfc,F1,0,0.0002523539170434766,0.00284049169890788
cub200,m1_glfc,F1,0,0.00026430814869741055,0.00284049169890788
cub200,m1_glfc,F1,0,0.00027682866303920667,0.00284049169890788
cub200,m1_glfc,F1,0,0.0002899422853882875,0.00284049169890788
cub200,m1_glfc,F1,0,0.0003036771118035457,0.0029874136833341496
cub200,m1_glfc,F1,0,0.0003180625692794119,0.0029874136833341496
cub200,m1_glfc,F1,0,0.00033312947879346737,0.0029874136833341496
cub200,m1_glfc,F1,0,0.0003489101213406774,0.003281257652186689
cub200,m1_glfc,F1,0,0.00036543830709572547,0.003281257652186689
cub200,m1_glfc,F1,0,0.0003827494478516311,0.003281257652186689
cub200,m1_glfc,F1,0,0.0004008806328898465,0.003379205641804202
cub200,m1_glfc,F1,0,0.000419870708444391,0.003379205641804202
cub200,m1_glfc,F1,0,0.00043976036093027214,0.003379205641804202
cub200,m1_glfc,F1,0,0.00046059220411451035,0.003379205641804202
cub200,m1_glfc,F1,0,0.00048241087041653687,0.003379205641804202
cub200,m1_glfc,F1,0,0.0005052631065335679,0.003379205641804202
cub200,m1_glfc,F1,0,0.0005291978735958442,0.003379205641804202
cub200,m1_glfc,F1,0,0.0005542664520663107,0.0034281796366129585
cub200,m1_glfc,F1,0,0.0005805225516094895,0.0034281796366129585
cub200,m1_glfc,F1,0,0.0006080224261649427,0.0036240756158479846
cub200,m1_glfc,F1,0,0.0006368249944718586,0.0038689455898917673
cub200,m1_glfc,F1,0,0.0006669919663030121,0.0038689455898917673
cub200,m1_glfc,F1,0,0.0006985879746785249,0.004407659532788089
cub200,m1_glfc,F1,0,0.0007316807143427193,0.0047015035016406284
cub200,m1_glfc,F1,0,0.0007663410868007462,0.0047015035016406284
cub200,m1_glfc,F1,0,0.0008026433522257174,0.005093295460110682
cub200,m1_glfc,F1,0,0.0008406652885618325,0.005191243449728195
cub200,m1_glfc,F1,0,0.0008804883581643465,0.005876879377050786
cub200,m1_glfc,F1,0,0.0009221978823334322,0.005876879377050786
cub200,m1_glfc,F1,0,0.0009658832241158709,0.005925853371859542
cub200,m1_glfc,F1,0,0.001011637979766207,0.006023801361477055
cub200,m1_glfc,F1,0,0.001059560179277616,0.006072775356285812
cub200,m1_glfc,F1,0,0.0011097524964120721,0.006366619325138352
cub200,m1_glfc,F1,0,0.0011623224686798518,0.006562515304373378
cub200,m1_glfc,F1,0,0.001217382727739662,0.006611489299182135
cub200,m1_glfc,F1,0,0.0012750512407130128,0.006807385278417161
cub200,m1_glfc,F1,0,0.0013354515629298987,0.007052255252460943
cub200,m1_glfc,F1,0,0.0013987131026472386,0.007199177236887213
cub200,m1_glfc,F1,0,0.0014649713983072847,0.0076399431901660216
cub200,m1_glfc,F1,0,0.0015343684089300133,0.007737891179783535
cub200,m1_glfc,F1,0,0.0016070528182616384,0.007933787159018562
cub200,m1_glfc,F1,0,0.0016831803533309566,0.007982761153827317
cub200,m1_glfc,F1,0,0.001762914118095948,0.008031735148636074
cub200,m1_glfc,F1,0,0.0018464249428955426,0.008178657133062343
cub200,m1_glfc,F1,0,0.0019338917504552321,0.00852147509672364
cub200,m1_glfc,F1,0,0.0020255019392306666,0.00852147509672364
cub200,m1_glfc,F1,0,0.00212145178491063,0.00866839708114991
cub200,m1_glfc,F1,0,0.002221946860939524,0.010578382878691416
cub200,m1_glfc,F1,0,0.0023272024789604074,0.01062735687350017
cub200,m1_glfc,F1,0,0.002437444150122222,0.011410940790440275
cub200,m1_glfc,F1,0,0.0025529080682395165,0.011704784759292815
cub200,m1_glfc,F1,0,0.0026738416158399465,0.012096576717762868
cub200,m1_glfc,F1,0,0.002800503894183631,0.012341446691806651
