dataset,method,family,seed,fpr,tpr
imagenet_r,m3_fot,F1,0,0.0,0.002873003506038177
imagenet_r,m3_fot,F1,0,0.0001,0.007304246201791975
imagenet_r,m3_fot,F1,0,0.00010473708979594497,0.007304246201791975
imagenet_r,m3_fot,F1,0,0.00010969857978923841,0.007304246201791975
imagenet_r,m3_fot,F1,0,0.00011489510001873086,0.007304246201791975
imagenet_r,m3_fot,F1,0,0.00012033778407775893,0.007304246201791975
imagenet_r,m3_fot,F1,0,0.00012603829296797275,0.007304246201791975
imagenet_r,m3_fot,F1,0,0.0001320088400831418,0.007304246201791975
imagenet_r,m3_fot,F1,0,0.00013826221737646565,0.007304246201791975
imagenet_r,m3_fot,F1,0,0.0001448118227674533,0.007304246201791975
imagenet_r,m3_fot,F1,0,0.00015167168884709225,0.008424230619400078
imagenet_r,m3_fot,F1,0,0.00015885651294280528,0.008424230619400078
imagenet_r,m3_fot,F1,0,0.0001663816886076129,0.008424230619400078
imagenet_r,m3_fot,F1,0,0.00017426333860096508,0.008424230619400078
imagenet_r,m3_fot,F1,0,0.00018251834943190426,0.008424230619400078
imagenet_r,m3_fot,F1,0,0.00019116440753857018,0.008424230619400078
imagenet_r,m3_fot,F1,0,0.00020022003718155845,0.009641604986365408
imagenet_r,m3_fot,F1,0,0.00020970464013232327,0.009641604986365408
imagenet_r,m3_fot,F1,0,0.0002196385372416547,0.009641604986365408
imagenet_r,m3_fot,F1,0,0.0002300430119772917,0.009641604986365408
imagenet_r,m3_fot,F1,0,0.00024094035602395243,0.009641604986365408
imagenet_r,m3_fot,F1,0,0.0002523539170434766,0.014121542656797818
imagenet_r,m3_fot,F1,0,0.00026430814869741055,0.014121542656797818
imagenet_r,m3_fot,F1,0,0.00027682866303920667,0.014121542656797818
imagenet_r,m3_fot,F1,0,0.0002899422853882875,0.014121542656797818
imagenet_r,m3_fot,F1,0,0.0003036771118035457,0.014803272302298403
imagenet_r,m3_fot,F1,0,0.0003180625692794119,0.014803272302298403
imagenet_r,m3_fot,F1,0,0.00033312947879346737,0.014803272302298403
imagenet_r,m3_fot,F1,0,0.0003489101213406774,0.016215426567978183
imagenet_r,m3_fot,F1,0,0.00036543830709572547,0.016215426567978183
imagenet_r,m3_fot,F1,0,0.0003827494478516311,0.016215426567978183
imagenet_r,m3_fot,F1,0,0.0004008806328898465,0.019088430074016362
imagenet_r,m3_fot,F1,0,0.000419870708444391,0.019088430074016362
imagenet_r,m3_fot,F1,0,0.00043976036093027214,0.019088430074016362
imagenet_r,m3_fot,F1,0,0.00046059220411451035,0.02011102454226724
imagenet_r,m3_fot,F1,0,0.00048241087041653687,0.02011102454226724
imagenet_r,m3_fot,F1,0,0.0005052631065335679,0.02395792754187768
imagenet_r,m3_fot,F1,0,0.0005291978735958442,0.02395792754187768
imagenet_r,m3_fot,F1,0,0.0005542664520663107,0.024931827035449942
imagenet_r,m3_fot,F1,0,0.0005805225516094895,0.024931827035449942
imagenet_r,m3_fot,F1,0,0.0006080224261649427,0.024980522010128556
imagenet_r,m3_fot,F1,0,0.0006368249944718586,0.02585703155434359
imagenet_r,m3_fot,F1,0,0.0006669919663030121,0.02585703155434359
imagenet_r,m3_fot,F1,0,0.0006985879746785249,0.026100506427736658
