dataset,method,metric,seed,value
cifar100,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.02735560824187911
cifar100,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.029587883057414582
cifar100,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.025451275007698438
cifar100,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.02866195395340663
cifar100,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.02485100640953559
cifar100,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.016204338123017893
cifar100,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.018323710734905567
cifar100,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.015461655484474958
cifar100,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.015272293094927015
cifar100,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.01614268588065471
cifar100,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.0273542425692769
cifar100,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.031262660035045416
cifar100,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.030187739313901694
cifar100,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.03116297637825943
cifar100,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.029112894533125593
cifar100,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.03696630478960693
cifar100,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.034380548504013266
cifar100,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.03465709978660506
cifar100,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.03872353932172767
cifar100,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.037192587884417934
cifar100,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.34514489566534723
cifar100,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.34530412434218577
cifar100,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.3399792397030886
cifar100,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.3389221965842403
cifar100,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.353205366034641
cifar100,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.026825130654568388
cifar100,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.02807462416228944
cifar100,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.029120286025486355
cifar100,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.028411755510395497
cifar100,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.025564621139337426
cifar100,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,0,1.0
cifar100,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,1,1.0
cifar100,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,2,1.0
cifar100,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,3,1.0
cifar100,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,4,1.0
cub200,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.058106823334389705
cub200,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.06234123366017055
cub200,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.05522524805551765
cub200,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.06085353902261834
cub200,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.05859859546995107
cub200,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.024635129929342234
cub200,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.022582645939861007
cub200,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.01706014299048522
cub200,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.02387933011039617
cub200,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.029885921169478788
cub200,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.05069855795760307
cub200,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.0529601574702907
cub200,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.05280576453967276
cub200,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.0508964747793067
cub200,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.05675291580907576
cub200,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.09411512278853844
cub200,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.09650190374247912
cub200,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.09130212268174397
cub200,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.09474610234103906
cub200,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.09005948569557205
cub200,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.9962760095759754
cub200,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.9971085458533667
cub200,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.9949253370279959
cub200,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.9977029012521655
cub200,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.9967694485304321
cub200,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.054968328890410624
cub200,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.056509497948169944
cub200,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.05286272436179901
cub200,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.05225074486665786
cub200,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.05831592644591309
cub200,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,0,1.0
cub200,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,1,1.0
cub200,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,2,1.0
cub200,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,3,1.0
cub200,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,4,1.0
imagenet_r,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.0755459711097419
imagenet_r,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.07664600517350774
imagenet_r,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.07785705222678782
imagenet_r,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.0687157935887412
imagenet_r,m0_fedavg,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.06647745345110224
imagenet_r,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.03293050177949861
imagenet_r,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.029868054337445674
imagenet_r,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.03493771041310396
imagenet_r,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.035801691164617434
imagenet_r,m1_glfc,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.029405457044539545
imagenet_r,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.05187866756196537
imagenet_r,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.05271391879444203
imagenet_r,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.05657577716401246
imagenet_r,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.051650181177161886
imagenet_r,m2_target,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.04721377320230853
imagenet_r,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.10662620328943838
imagenet_r,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.10059703973908239
imagenet_r,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.10480756555660253
imagenet_r,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.09398428215824453
imagenet_r,m3_fot,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.09127036434914637
imagenet_r,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.7388189489910868
imagenet_r,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.7457674985507677
imagenet_r,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.7523983667320767
imagenet_r,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.745813326511335
imagenet_r,m4_proto,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.7259346265179848
imagenet_r,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,0,0.0703449490477332
imagenet_r,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,1,0.07551254235635406
imagenet_r,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,2,0.0730852027546975
imagenet_r,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,3,0.06596741145477608
imagenet_r,m5_hybrid_replay,tpr_at_1pct_fpr_elapsed0_trajectory,4,0.06664974470619246
imagenet_r,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,0,1.0
imagenet_r,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,1,1.0
imagenet_r,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,2,1.0
imagenet_r,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,3,1.0
imagenet_r,m8_analytic,tpr_at_1pct_fpr_elapsed0_trajectory,4,1.0
