partition,beta,method,family,elapsed,acc,tpr1,ci_lo,ci_hi,n_seeds
natural,,m0_fedavg,F1,0,1.0,0.024771005607670024,0.012442750244659581,0.03709926097068047,3
natural,,m0_fedavg,F1,1,0.9753077705626613,0.029555554819369865,0.022631787939961782,0.03647932169877795,3
natural,,m0_fedavg,F1,2,0.986239611785098,0.04088788608315254,0.03355076666173951,0.048225005504565564,3
natural,,m0_fedavg,F1,3,0.9886163046219244,0.05306005317043342,0.023614203678043642,0.0825059026628232,3
natural,,m0_fedavg,F1,4,0.9917864476386037,0.05429422287298564,-0.08440607877289383,0.1929945245188651,3
dirichlet,0.5,m0_fedavg,F1,0,1.0,0.0132848385672684,0.0024161588083333324,0.02415351832620347,3
dirichlet,0.5,m0_fedavg,F1,1,1.003573982902029,0.014363384299425514,0.0008839287113305595,0.027842839887520468,3
dirichlet,0.5,m0_fedavg,F1,2,1.0082108174415625,0.016754979667989032,-0.0018415832312447186,0.03535154256722278,3
dirichlet,0.5,m0_fedavg,F1,3,1.0190343394306787,0.01868398697071943,-0.0037999303979712913,0.04116790433941016,3
dirichlet,0.5,m0_fedavg,F1,4,1.058573618125511,0.01755875213518192,0.0022796528984875813,0.03283785137187626,3
