dataset,method,knob_value,n_seeds,forgetting,forgetting_ci_lo,forgetting_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,retention_bwt,retention_bwt_ci_lo,retention_bwt_ci_hi,final_acc,final_acc_ci_lo,final_acc_ci_hi
cifar100,m2_target,1,3,0.13555555555555557,0.1086076401530144,0.16250347095809672,0.024544637572621746,0.019878153684139387,0.029211121461104106,-0.13555555555555557,-0.16250347095809672,-0.1086076401530144,0.789,0.7726197534015565,0.8053802465984435
cifar100,m2_target,2,3,0.10240740740740743,0.09061818244017317,0.1141966323746417,0.029556678660291297,0.022812772633757056,0.03630058468682554,-0.10240740740740743,-0.1141966323746417,-0.09061818244017317,0.8093666666666667,0.7996266502279964,0.819106683105337
cifar100,m2_target,5,3,0.07303703703703704,0.06199527498108766,0.08407879909298642,0.03406187384727361,0.031137855502196707,0.03698589219235052,-0.07303703703703704,-0.08407879909298642,-0.06199527498108766,0.8227000000000001,0.8081662020777072,0.837233797922293
cifar100,m2_target,10,3,0.048962962962962965,0.038311013107052636,0.059614912818873295,0.03725107854913393,0.030295957720961976,0.04420619937730589,-0.048962962962962965,-0.059614912818873295,-0.038311013107052636,0.8328333333333333,0.8217535964322366,0.8439130702344301
cifar100,m2_target,20,3,0.033259259259259266,0.024940553092698464,0.04157796542582007,0.042509340650898085,0.038174651816872844,0.046844029484923326,-0.033259259259259266,-0.04157796542582007,-0.024940553092698464,0.8363666666666667,0.8274745176919613,0.8452588156413721
cifar100,m2_target,50,3,0.01740740740740741,0.008377304826198733,0.026437509988616086,0.04594879331364593,0.04019792546648706,0.0516996611608048,-0.01740740740740741,-0.026437509988616086,-0.008377304826198733,0.8388,0.826599873897398,0.851000126102602
cifar100,m5_hybrid_replay,1,3,0.15281481481481482,0.1248481395900427,0.18078149003958693,0.037509111550939105,0.028432958639554123,0.04658526446232408,-0.15281481481481482,-0.18078149003958693,-0.1248481395900427,0.781,0.7529622385280748,0.8090377614719253
cifar100,m5_hybrid_replay,2,3,0.11262962962962962,0.09059272746204074,0.13466653179721852,0.046937325645949844,0.037855663998639655,0.056018987293260034,-0.11262962962962962,-0.13466653179721852,-0.09059272746204074,0.8080666666666666,0.7818259716671624,0.8343073616661708
cifar100,m5_hybrid_replay,5,3,0.07122222222222223,0.05826713303858084,0.08417731140586363,0.056052520909479715,0.051376379423603694,0.06072866239535574,-0.07122222222222223,-0.08417731140586363,-0.05826713303858084,0.8304,0.8142473732655992,0.8465526267344009
cifar100,m5_hybrid_replay,10,3,0.042814814814814826,0.03549997535685859,0.050129654272771065,0.061554899083946464,0.05263084034280813,0.0704789578250848,-0.042814814814814826,-0.050129654272771065,-0.03549997535685859,0.8409,0.829893840108714,0.8519061598912859
cifar100,m5_hybrid_replay,20,3,0.024999999999999998,0.022366981838969513,0.027633018161030483,0.07525359096793484,0.05285180231663508,0.0976553796192346,-0.024999999999999998,-0.027633018161030483,-0.022366981838969513,0.846,0.8380624122591471,0.8539375877408528
cifar100,m5_hybrid_replay,50,3,0.00907407407407406,0.001221774278674195,0.016926373869473925,0.08328556780577047,0.05996979612290068,0.10660133948864026,-0.00907407407407406,-0.016926373869473925,-0.001221774278674195,0.8527666666666667,0.841260701411028,0.8642726319223053
