dataset,method,seed,config_id,final_avg_acc,last_task_acc,bwt,aia,diagonal_json,m0_final_avg_acc,m0_last_task_acc,pass,used_cfg_json,replay_weight
cifar100,m0_fedavg,0,default,0.30970000000000003,0.954,-0.6911111111111112,0.44663460317460324,"[0.954, 0.941, 0.922, 0.917, 0.972, 0.926, 0.895, 0.954, 0.882, 0.954]",0.33253333333333335,0.9513333333333334,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cifar100,m0_fedavg,1,default,0.32489999999999997,0.958,-0.6877777777777777,0.5019903571428571,"[0.968, 0.937, 0.863, 0.966, 0.955, 0.958, 0.941, 0.946, 0.947, 0.958]",0.33253333333333335,0.9513333333333334,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cifar100,m0_fedavg,2,default,0.363,0.942,-0.6322222222222222,0.49271722222222214,"[0.952, 0.888, 0.87, 0.942, 0.947, 0.957, 0.946, 0.954, 0.922, 0.942]",0.33253333333333335,0.9513333333333334,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cifar100,m1_glfc,0,tuned,0.8431999999999998,0.839,0.005888888888888894,0.8728707539682539,"[0.954, 0.898, 0.891, 0.813, 0.847, 0.778, 0.733, 0.841, 0.785, 0.839]",0.33253333333333335,0.9513333333333334,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cifar100,m1_glfc,1,tuned,0.8416,0.766,0.0022222222222222487,0.8795142857142857,"[0.968, 0.897, 0.822, 0.874, 0.858, 0.8, 0.829, 0.832, 0.75, 0.766]",0.33253333333333335,0.9513333333333334,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cifar100,m1_glfc,2,tuned,0.843,0.789,0.0021111111111111252,0.8633160317460318,"[0.952, 0.848, 0.78, 0.829, 0.867, 0.864, 0.842, 0.813, 0.827, 0.789]",0.33253333333333335,0.9513333333333334,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cifar100,m2_target,0,default,0.8333,0.856,-0.036777777777777784,0.8764080555555556,"[0.954, 0.904, 0.907, 0.861, 0.888, 0.839, 0.783, 0.863, 0.809, 0.856]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 1.0}",1.0
cifar100,m2_target,1,default,0.8355,0.811,-0.030111111111111127,0.8834224206349207,"[0.968, 0.912, 0.839, 0.878, 0.89, 0.862, 0.843, 0.858, 0.765, 0.811]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 1.0}",1.0
cifar100,m2_target,2,default,0.8403,0.848,-0.032888888888888884,0.8723874603174604,"[0.952, 0.889, 0.83, 0.858, 0.889, 0.862, 0.864, 0.852, 0.855, 0.848]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 1.0}",1.0
cifar100,m3_fot,0,default,0.7602,0.923,-0.158,0.8024689285714285,"[0.954, 0.883, 0.929, 0.903, 0.931, 0.91, 0.815, 0.933, 0.843, 0.923]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
cifar100,m3_fot,1,default,0.7436,0.92,-0.18633333333333335,0.8160182142857142,"[0.968, 0.921, 0.847, 0.879, 0.925, 0.909, 0.914, 0.913, 0.917, 0.92]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
cifar100,m3_fot,2,default,0.7403000000000002,0.918,-0.17855555555555552,0.784610119047619,"[0.952, 0.858, 0.827, 0.892, 0.89, 0.914, 0.932, 0.928, 0.899, 0.918]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
cifar100,m5_hybrid_replay,0,default,0.8414999999999999,0.868,-0.04277777777777779,0.8788449206349206,"[0.954, 0.93, 0.918, 0.869, 0.913, 0.856, 0.781, 0.898, 0.813, 0.868]",0.33253333333333335,0.9513333333333334,True,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 1.0}",1.0
cifar100,m5_hybrid_replay,1,default,0.8362,0.829,-0.04577777777777778,0.8812707142857142,"[0.968, 0.924, 0.857, 0.904, 0.9, 0.883, 0.85, 0.871, 0.788, 0.829]",0.33253333333333335,0.9513333333333334,True,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 1.0}",1.0
cifar100,m5_hybrid_replay,2,default,0.845,0.863,-0.03988888888888889,0.8717880952380954,"[0.952, 0.896, 0.839, 0.897, 0.9, 0.875, 0.885, 0.849, 0.853, 0.863]",0.33253333333333335,0.9513333333333334,True,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 1.0}",1.0
cub200,m0_fedavg,0,default,0.41049164641023017,0.8657487091222031,-0.47236522377314,0.5392772463453557,"[0.821917808219178, 0.7718120805369127, 0.7585034013605442, 0.851027397260274, 0.8534031413612565, 0.8907563025210085, 0.8691099476439791, 0.7872340425531915, 0.8866906474820144, 0.8657487091222031]",0.38623045860454264,0.8357001857308167,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cub200,m0_fedavg,1,default,0.4314684539919539,0.9305084745762712,-0.5043493063574167,0.5901631536241203,"[0.9081455805892548, 0.8350694444444444, 0.7950089126559715, 0.8703374777975134, 0.8624161073825504, 0.9512635379061372, 0.8834459459459459, 0.8983050847457628, 0.9193277310924369, 0.9305084745762712]",0.38623045860454264,0.8357001857308167,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cub200,m0_fedavg,2,default,0.31673127541144375,0.7108433734939759,-0.5993073788458523,0.556859783122434,"[0.930976430976431, 0.8827470686767169, 0.8598615916955017, 0.8869565217391304, 0.8205128205128205, 0.8568840579710145, 0.889267461669506, 0.9050086355785838, 0.8180212014134276, 0.7108433734939759]",0.38623045860454264,0.8357001857308167,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cub200,m1_glfc,0,tuned,0.7007071020557099,0.09982788296041308,0.3708610199855443,0.7033001367035706,"[0.821917808219178, 0.5067114093959731, 0.4574829931972789, 0.4246575342465753, 0.537521815008726, 0.12100840336134454, 0.16753926701570682, 0.23049645390070922, 0.302158273381295, 0.09982788296041308]",0.38623045860454264,0.8357001857308167,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cub200,m1_glfc,1,tuned,0.6972842939042382,0.188135593220339,0.3754984376800707,0.7251523441783927,"[0.9081455805892548, 0.8072916666666666, 0.43672014260249553, 0.34991119005328597, 0.20973154362416108, 0.21299638989169675, 0.14020270270270271, 0.08644067796610169, 0.253781512605042, 0.188135593220339]",0.38623045860454264,0.8357001857308167,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cub200,m1_glfc,2,tuned,0.6943321551027768,0.0981067125645439,0.33487169434177605,0.7558597097730206,"[0.930976430976431, 0.7470686767169179, 0.5934256055363322, 0.3617391304347826, 0.28547008547008546, 0.3188405797101449, 0.30153321976149916, 0.11917098445595854, 0.17314487632508835, 0.0981067125645439]",0.38623045860454264,0.8357001857308167,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cub200,m2_target,0,tuned,0.7908321906032485,0.17555938037865748,0.48368628453639406,0.791722482109687,"[0.886986301369863, 0.5083892617449665, 0.3945578231292517, 0.375, 0.3106457242582897, 0.17478991596638654, 0.15532286212914484, 0.2393617021276596, 0.3345323741007194, 0.17555938037865748]",0.38623045860454264,0.8357001857308167,False,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 2.0}",2.0
cub200,m2_target,1,tuned,0.7900021490297794,0.2677966101694915,0.48437327851310524,0.7883652565219138,"[0.8942807625649913, 0.6336805555555556, 0.3137254901960784, 0.36767317939609234, 0.20469798657718122, 0.26714801444043323, 0.16216216216216217, 0.11016949152542373, 0.31932773109243695, 0.2677966101694915]",0.38623045860454264,0.8357001857308167,False,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 2.0}",2.0
cub200,m2_target,2,tuned,0.7791994135739418,0.07056798623063683,0.475455821662021,0.7990790125336349,"[0.9225589225589226, 0.5527638190954773, 0.44809688581314877, 0.2382608695652174, 0.30256410256410254, 0.3170289855072464, 0.3833049403747871, 0.1381692573402418, 0.13957597173144876, 0.07056798623063683]",0.38623045860454264,0.8357001857308167,False,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 2.0}",2.0
cub200,m3_fot,0,default,0.6661302956736588,0.6764199655765921,0.034011288907299424,0.6781444600405375,"[0.821917808219178, 0.4261744966442953, 0.46938775510204084, 0.601027397260274, 0.6055846422338569, 0.6436974789915967, 0.6160558464223386, 0.7269503546099291, 0.7679856115107914, 0.6764199655765921]",0.38623045860454264,0.8357001857308167,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
cub200,m3_fot,1,default,0.6743406146681421,0.8135593220338984,-0.004552093485532353,0.716423487931267,"[0.9081455805892548, 0.4149305555555556, 0.6024955436720143, 0.7140319715808171, 0.5604026845637584, 0.7184115523465704, 0.6266891891891891, 0.6593220338983051, 0.7663865546218488, 0.8135593220338984]",0.38623045860454264,0.8357001857308167,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
cub200,m3_fot,2,default,0.6719544792160203,0.5955249569707401,-0.05490818898098272,0.7312898660756098,"[0.930976430976431, 0.49246231155778897, 0.7283737024221453, 0.6034782608695652, 0.7094017094017094, 0.7934782608695652, 0.8603066439522998, 0.7046632124352331, 0.7950530035335689, 0.5955249569707401]",0.38623045860454264,0.8357001857308167,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
cub200,m5_hybrid_replay,0,tuned,0.7821927616881436,0.31153184165232356,0.2999662001725467,0.8025475560157634,"[0.886986301369863, 0.7181208053691275, 0.54421768707483, 0.547945205479452, 0.5410122164048866, 0.41680672268907565, 0.32111692844677137, 0.3776595744680851, 0.4568345323741007, 0.31153184165232356]",0.38623045860454264,0.8357001857308167,False,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.1, ""replay_weight"": 2.0}",2.0
cub200,m5_hybrid_replay,1,tuned,0.7942114021387063,0.39322033898305087,0.34806715788746956,0.7996290092901982,"[0.8942807625649913, 0.8125, 0.5418894830659536, 0.5115452930728241, 0.348993288590604, 0.41155234657039713, 0.3108108108108108, 0.18135593220338983, 0.40336134453781514, 0.39322033898305087]",0.38623045860454264,0.8357001857308167,False,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.1, ""replay_weight"": 2.0}",2.0
cub200,m5_hybrid_replay,2,tuned,0.7594354991318518,0.14113597246127366,0.2931364091799866,0.8107116753182494,"[0.9225589225589226, 0.7939698492462312, 0.6591695501730104, 0.40695652173913044, 0.5094017094017094, 0.4963768115942029, 0.46678023850085176, 0.24352331606217617, 0.31625441696113077, 0.14113597246127366]",0.38623045860454264,0.8357001857308167,False,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.1, ""replay_weight"": 2.0}",2.0
imagenet_r,m0_fedavg,0,default,0.2531857778862122,0.6701030927835051,-0.5177024231372144,0.35555217301366404,"[0.7344827586206897, 0.6610169491525424, 0.6866197183098591, 0.7593220338983051, 0.7156862745098039, 0.7767295597484277, 0.7721088435374149, 0.7455197132616488, 0.6695906432748538, 0.6701030927835051]",0.24800126100925612,0.6865214836991074,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
imagenet_r,m0_fedavg,1,default,0.22382520912567272,0.7180327868852459,-0.5531484690179459,0.3641802611840572,"[0.7370242214532872, 0.699724517906336, 0.7094339622641509, 0.6816816816816816, 0.7076271186440678, 0.7275541795665634, 0.7391304347826086, 0.7613636363636364, 0.7350157728706624, 0.7180327868852459]",0.24800126100925612,0.6865214836991074,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
imagenet_r,m0_fedavg,2,default,0.2669927960158835,0.6714285714285714,-0.5083872309973715,0.3613818820510337,"[0.7335640138408305, 0.7093425605536332, 0.7641196013289037, 0.6862068965517242, 0.7361111111111112, 0.7275862068965517, 0.7883435582822086, 0.7283950617283951, 0.7003154574132492, 0.6714285714285714]",0.24800126100925612,0.6865214836991074,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
