dataset,method,seed,config_id,final_avg_acc,last_task_acc,bwt,aia,diagonal_json,m0_final_avg_acc,m0_last_task_acc,pass,used_cfg_json,replay_weight
cifar100,m0_fedavg,0,default,0.30970000000000003,0.954,-0.6911111111111112,0.44663460317460324,"[0.954, 0.941, 0.922, 0.917, 0.972, 0.926, 0.895, 0.954, 0.882, 0.954]",0.33253333333333335,0.9513333333333334,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cifar100,m0_fedavg,1,default,0.32489999999999997,0.958,-0.6877777777777777,0.5019903571428571,"[0.968, 0.937, 0.863, 0.966, 0.955, 0.958, 0.941, 0.946, 0.947, 0.958]",0.33253333333333335,0.9513333333333334,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cifar100,m0_fedavg,2,default,0.363,0.942,-0.6322222222222222,0.49271722222222214,"[0.952, 0.888, 0.87, 0.942, 0.947, 0.957, 0.946, 0.954, 0.922, 0.942]",0.33253333333333335,0.9513333333333334,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cifar100,m1_glfc,0,tuned,0.8431999999999998,0.839,0.005888888888888894,0.8728707539682539,"[0.954, 0.898, 0.891, 0.813, 0.847, 0.778, 0.733, 0.841, 0.785, 0.839]",0.33253333333333335,0.9513333333333334,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cifar100,m1_glfc,1,tuned,0.8416,0.766,0.0022222222222222487,0.8795142857142857,"[0.968, 0.897, 0.822, 0.874, 0.858, 0.8, 0.829, 0.832, 0.75, 0.766]",0.33253333333333335,0.9513333333333334,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cifar100,m1_glfc,2,tuned,0.843,0.789,0.0021111111111111252,0.8633160317460318,"[0.952, 0.848, 0.78, 0.829, 0.867, 0.864, 0.842, 0.813, 0.827, 0.789]",0.33253333333333335,0.9513333333333334,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cifar100,m2_target,0,default,0.8333,0.856,-0.036777777777777784,0.8764080555555556,"[0.954, 0.904, 0.907, 0.861, 0.888, 0.839, 0.783, 0.863, 0.809, 0.856]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 1.0}",1.0
cifar100,m2_target,1,default,0.8355,0.811,-0.030111111111111127,0.8834224206349207,"[0.968, 0.912, 0.839, 0.878, 0.89, 0.862, 0.843, 0.858, 0.765, 0.811]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 1.0}",1.0
cifar100,m2_target,2,default,0.8403,0.848,-0.032888888888888884,0.8723874603174604,"[0.952, 0.889, 0.83, 0.858, 0.889, 0.862, 0.864, 0.852, 0.855, 0.848]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 1.0}",1.0
cifar100,m3_fot,0,default,0.7602,0.923,-0.158,0.8024689285714285,"[0.954, 0.883, 0.929, 0.903, 0.931, 0.91, 0.815, 0.933, 0.843, 0.923]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
cifar100,m3_fot,1,default,0.7436,0.92,-0.18633333333333335,0.8160182142857142,"[0.968, 0.921, 0.847, 0.879, 0.925, 0.909, 0.914, 0.913, 0.917, 0.92]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
cifar100,m3_fot,2,default,0.7403000000000002,0.918,-0.17855555555555552,0.784610119047619,"[0.952, 0.858, 0.827, 0.892, 0.89, 0.914, 0.932, 0.928, 0.899, 0.918]",0.33253333333333335,0.9513333333333334,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
cifar100,m5_hybrid_replay,0,default,0.8414999999999999,0.868,-0.04277777777777779,0.8788449206349206,"[0.954, 0.93, 0.918, 0.869, 0.913, 0.856, 0.781, 0.898, 0.813, 0.868]",0.33253333333333335,0.9513333333333334,True,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 1.0}",1.0
cifar100,m5_hybrid_replay,1,default,0.8362,0.829,-0.04577777777777778,0.8812707142857142,"[0.968, 0.924, 0.857, 0.904, 0.9, 0.883, 0.85, 0.871, 0.788, 0.829]",0.33253333333333335,0.9513333333333334,True,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 1.0}",1.0
cifar100,m5_hybrid_replay,2,default,0.845,0.863,-0.03988888888888889,0.8717880952380954,"[0.952, 0.896, 0.839, 0.897, 0.9, 0.875, 0.885, 0.849, 0.853, 0.863]",0.33253333333333335,0.9513333333333334,True,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 1.0}",1.0
