dataset,method,seed,config_id,final_avg_acc,last_task_acc,bwt,aia,diagonal_json,m0_final_avg_acc,m0_last_task_acc,pass,used_cfg_json,replay_weight
cub200,m0_fedavg,0,default,0.41049164641023017,0.8657487091222031,-0.47236522377314,0.5392772463453557,"[0.821917808219178, 0.7718120805369127, 0.7585034013605442, 0.851027397260274, 0.8534031413612565, 0.8907563025210085, 0.8691099476439791, 0.7872340425531915, 0.8866906474820144, 0.8657487091222031]",0.38623045860454264,0.8357001857308167,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cub200,m0_fedavg,1,default,0.4314684539919539,0.9305084745762712,-0.5043493063574167,0.5901631536241203,"[0.9081455805892548, 0.8350694444444444, 0.7950089126559715, 0.8703374777975134, 0.8624161073825504, 0.9512635379061372, 0.8834459459459459, 0.8983050847457628, 0.9193277310924369, 0.9305084745762712]",0.38623045860454264,0.8357001857308167,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cub200,m0_fedavg,2,default,0.31673127541144375,0.7108433734939759,-0.5993073788458523,0.556859783122434,"[0.930976430976431, 0.8827470686767169, 0.8598615916955017, 0.8869565217391304, 0.8205128205128205, 0.8568840579710145, 0.889267461669506, 0.9050086355785838, 0.8180212014134276, 0.7108433734939759]",0.38623045860454264,0.8357001857308167,n/a (baseline),"{""local_epochs"": 30, ""lr"": 0.5}",1.0
cub200,m1_glfc,0,tuned,0.7007071020557099,0.09982788296041308,0.3708610199855443,0.7033001367035706,"[0.821917808219178, 0.5067114093959731, 0.4574829931972789, 0.4246575342465753, 0.537521815008726, 0.12100840336134454, 0.16753926701570682, 0.23049645390070922, 0.302158273381295, 0.09982788296041308]",0.38623045860454264,0.8357001857308167,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cub200,m1_glfc,1,tuned,0.6972842939042382,0.188135593220339,0.3754984376800707,0.7251523441783927,"[0.9081455805892548, 0.8072916666666666, 0.43672014260249553, 0.34991119005328597, 0.20973154362416108, 0.21299638989169675, 0.14020270270270271, 0.08644067796610169, 0.253781512605042, 0.188135593220339]",0.38623045860454264,0.8357001857308167,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cub200,m1_glfc,2,tuned,0.6943321551027768,0.0981067125645439,0.33487169434177605,0.7558597097730206,"[0.930976430976431, 0.7470686767169179, 0.5934256055363322, 0.3617391304347826, 0.28547008547008546, 0.3188405797101449, 0.30153321976149916, 0.11917098445595854, 0.17314487632508835, 0.0981067125645439]",0.38623045860454264,0.8357001857308167,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
cub200,m2_target,0,tuned,0.7908321906032485,0.17555938037865748,0.48368628453639406,0.791722482109687,"[0.886986301369863, 0.5083892617449665, 0.3945578231292517, 0.375, 0.3106457242582897, 0.17478991596638654, 0.15532286212914484, 0.2393617021276596, 0.3345323741007194, 0.17555938037865748]",0.38623045860454264,0.8357001857308167,False,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 2.0}",2.0
cub200,m2_target,1,tuned,0.7900021490297794,0.2677966101694915,0.48437327851310524,0.7883652565219138,"[0.8942807625649913, 0.6336805555555556, 0.3137254901960784, 0.36767317939609234, 0.20469798657718122, 0.26714801444043323, 0.16216216216216217, 0.11016949152542373, 0.31932773109243695, 0.2677966101694915]",0.38623045860454264,0.8357001857308167,False,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 2.0}",2.0
cub200,m2_target,2,tuned,0.7791994135739418,0.07056798623063683,0.475455821662021,0.7990790125336349,"[0.9225589225589226, 0.5527638190954773, 0.44809688581314877, 0.2382608695652174, 0.30256410256410254, 0.3170289855072464, 0.3833049403747871, 0.1381692573402418, 0.13957597173144876, 0.07056798623063683]",0.38623045860454264,0.8357001857308167,False,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 2.0}",2.0
cub200,m3_fot,0,default,0.6661302956736588,0.6764199655765921,0.034011288907299424,0.6781444600405375,"[0.821917808219178, 0.4261744966442953, 0.46938775510204084, 0.601027397260274, 0.6055846422338569, 0.6436974789915967, 0.6160558464223386, 0.7269503546099291, 0.7679856115107914, 0.6764199655765921]",0.38623045860454264,0.8357001857308167,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
