dataset,method,replay_weight,lr,val_pass,final_avg_acc,last_task_acc,bwt,aia
cub200,m1_glfc,0.5,0.1,False,0.5325,0.16666666666666666,0.12037037037037039,0.6544050925925926
cub200,m1_glfc,0.5,0.5,False,0.5916666666666667,0.225,0.15277777777777776,0.6869378306878308
cub200,m1_glfc,1.0,0.1,False,0.6208333333333332,0.13333333333333333,0.25925925925925924,0.6953511904761905
cub200,m1_glfc,1.0,0.5,False,0.6508333333333334,0.15,0.28611111111111115,0.7068551587301587
cub200,m1_glfc,2.0,0.1,False,0.65,0.125,0.31296296296296294,0.7114884259259259
cub200,m1_glfc,2.0,0.5,False,0.685,0.10833333333333334,0.36481481481481476,0.725554894179894
cub200,m2_target,0.5,0.1,False,0.7725,0.275,0.39166666666666666,0.7846914682539682
cub200,m2_target,0.5,0.5,False,0.7599999999999999,0.275,0.37592592592592594,0.7762483465608465
cub200,m2_target,1.0,0.1,False,0.7725,0.19999999999999998,0.4425925925925926,0.7816448412698414
cub200,m2_target,1.0,0.5,False,0.77,0.21666666666666667,0.4388888888888889,0.7802010582010585
cub200,m2_target,2.0,0.1,False,0.7799999999999999,0.18333333333333335,0.47222222222222215,0.7863164682539683
cub200,m2_target,2.0,0.5,False,0.7725,0.15833333333333333,0.4749999999999999,0.7855059523809524
cub200,m5_hybrid_replay,0.5,0.1,False,0.7616666666666667,0.4166666666666667,0.21481481481481482,0.7846726190476191
cub200,m5_hybrid_replay,0.5,0.5,False,0.7558333333333334,0.4083333333333334,0.2138888888888889,0.7800720899470899
cub200,m5_hybrid_replay,1.0,0.1,False,0.7708333333333334,0.3416666666666666,0.28240740740740744,0.7931220238095237
cub200,m5_hybrid_replay,1.0,0.5,False,0.7600000000000001,0.36666666666666664,0.2740740740740741,0.7875889550264551
cub200,m5_hybrid_replay,2.0,0.1,False,0.7799999999999999,0.2916666666666667,0.3398148148148148,0.7968148148148148
cub200,m5_hybrid_replay,2.0,0.5,False,0.7766666666666667,0.3083333333333333,0.33796296296296297,0.7987734788359789
