dataset,method,n_seeds,gate_pass,gate_pass_numeric,replay_weight,used_cfg_json,final_avg_acc,final_avg_acc_ci_lo,final_avg_acc_ci_hi,last_task_acc,last_task_acc_ci_lo,last_task_acc_ci_hi,bwt,bwt_ci_lo,bwt_ci_hi
cifar100,m0_fedavg,3,n/a (baseline),,1.0,"{""local_epochs"": 30, ""lr"": 0.5}",0.33253333333333335,0.264324713765419,0.4007419529012477,0.9513333333333334,0.9306487532834207,0.9720179133832461,-0.6703703703703704,-0.7525438542087792,-0.5881968865319616
cifar100,m1_glfc,3,False,0,2.0,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",0.8426,0.8404343789505554,0.8447656210494446,0.798,0.7052847388079687,0.8907152611920314,0.003407407407407423,-0.0019328526823553156,0.008747667497170162
cifar100,m2_target,3,True,1,1.0,"{""local_epochs"": 30, ""lr"": 0.5, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 1.0}",0.8363666666666667,0.8274745176919613,0.8452588156413721,0.8383333333333334,0.7786967797908092,0.8979698868758575,-0.033259259259259266,-0.04157796542582007,-0.024940553092698464
cifar100,m3_fot,3,True,1,1.0,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",0.7480333333333334,0.7215398755592735,0.7745267911073934,0.9203333333333333,0.9140817238540351,0.9265849428126316,-0.1742962962962963,-0.2106615959386924,-0.1379309966539002
cifar100,m5_hybrid_replay,3,True,1,1.0,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 1.0}",0.8409,0.829893840108714,0.8519061598912859,0.8533333333333334,0.8006173010764271,0.9060493655902396,-0.042814814814814826,-0.050129654272771065,-0.03549997535685859
cub200,m0_fedavg,3,n/a (baseline),,1.0,"{""local_epochs"": 30, ""lr"": 0.5}",0.38623045860454264,0.2344618630773664,0.5379990541317189,0.8357001857308167,0.5553074457209781,1.1160929257406553,-0.5253406363254697,-0.6893512010692922,-0.36133007158164715
cub200,m1_glfc,3,False,0,2.0,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",0.6974411836875749,0.6895158702280777,0.7053664971470721,0.12869006291509866,0.0007854592310403141,0.256594666599157,0.36041038400246367,0.3051672209022514,0.41565354710267594
cub200,m2_target,3,False,0,2.0,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 2.0}",0.7866779177356565,0.7705562160134211,0.802799619457892,0.17130799225959528,-0.07383421689509154,0.41645020141428213,0.4811717949038401,0.4688453011350163,0.4934982886726639
cub200,m3_fot,3,True,1,1.0,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",0.6708084631859403,0.6603168849531009,0.6813000414187798,0.6951680815270769,0.42136736304897604,0.9689688000051777,-0.008482997853071885,-0.11925040019473357,0.1022844044885898
cub200,m5_hybrid_replay,3,False,0,2.0,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.1, ""replay_weight"": 2.0}",0.7786132209862339,0.7347380679755469,0.8224883739969209,0.2819627176988827,-0.03754009644343592,0.6014655318412013,0.31372325574666765,0.23935291781323337,0.38809359368010193
imagenet_r,m0_fedavg,3,n/a (baseline),,1.0,"{""local_epochs"": 30, ""lr"": 0.5}",0.24800126100925612,0.1932363308939082,0.302766191124604,0.6865214836991074,0.6187103983275097,0.754332569070705,-0.5264127077175106,-0.5850822295061844,-0.46774318592883674
imagenet_r,m1_glfc,3,False,0,2.0,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",0.597758137474121,0.5921381249999035,0.6033781499483385,0.38160499341418724,0.35061995411252156,0.41259003271585293,0.11655704951377956,0.0988570264829577,0.1342570725446014
imagenet_r,m2_target,3,False,0,0.5,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 0.5}",0.6159680850826806,0.6065540967264272,0.625382073438934,0.4439173111642269,0.35468359330908517,0.5331510290193686,0.09766127045648347,0.0924404011028674,0.10288213981009954
imagenet_r,m3_fot,3,True,1,1.0,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",0.4522566957673873,0.43284439957594223,0.4716689919588324,0.6571531181341896,0.5754655308754832,0.738840705392896,-0.2694499363949288,-0.30015586061588284,-0.23874401217397478
imagenet_r,m5_hybrid_replay,3,False,0,2.0,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.1, ""replay_weight"": 2.0}",0.6314159196570739,0.608524162780078,0.6543076765340697,0.460656542488552,0.3542126391835662,0.5671004457935377,0.06533447554457032,0.052092372000285186,0.07857657908885546
