dataset,method,seed,task_k,acc_before,acc_after
cub200,m1_glfc,0,0,0.821917808219178,0.821917808219178
cub200,m1_glfc,0,1,0.5822147651006712,0.5067114093959731
cub200,m1_glfc,0,2,0.6224489795918368,0.4574829931972789
cub200,m1_glfc,0,3,0.4417808219178082,0.4246575342465753
cub200,m1_glfc,0,4,0.29842931937172773,0.537521815008726
cub200,m1_glfc,0,5,0.14285714285714285,0.12100840336134454
cub200,m1_glfc,0,6,0.10471204188481675,0.16753926701570682
cub200,m1_glfc,0,7,0.12056737588652482,0.23049645390070922
cub200,m1_glfc,0,8,0.21942446043165467,0.302158273381295
cub200,m1_glfc,0,9,0.025817555938037865,0.09982788296041308
cub200,m2_target,0,0,0.821917808219178,0.886986301369863
cub200,m2_target,0,1,0.003355704697986577,0.5083892617449665
cub200,m2_target,0,2,0.034013605442176874,0.3945578231292517
cub200,m2_target,0,3,0.005136986301369863,0.375
cub200,m2_target,0,4,0.015706806282722512,0.3106457242582897
cub200,m2_target,0,5,0.005042016806722689,0.17478991596638654
cub200,m2_target,0,6,0.0,0.15532286212914484
cub200,m2_target,0,7,0.0,0.2393617021276596
cub200,m2_target,0,8,0.00539568345323741,0.3345323741007194
cub200,m2_target,0,9,0.0,0.17555938037865748
cub200,m5_hybrid_replay,0,0,0.821917808219178,0.886986301369863
cub200,m5_hybrid_replay,0,1,0.4664429530201342,0.7181208053691275
cub200,m5_hybrid_replay,0,2,0.3520408163265306,0.54421768707483
cub200,m5_hybrid_replay,0,3,0.3476027397260274,0.547945205479452
cub200,m5_hybrid_replay,0,4,0.3525305410122164,0.5410122164048866
cub200,m5_hybrid_replay,0,5,0.18319327731092436,0.41680672268907565
cub200,m5_hybrid_replay,0,6,0.13612565445026178,0.32111692844677137
cub200,m5_hybrid_replay,0,7,0.14361702127659576,0.3776595744680851
cub200,m5_hybrid_replay,0,8,0.2607913669064748,0.4568345323741007
cub200,m5_hybrid_replay,0,9,0.13769363166953527,0.31153184165232356
