dataset,method,n_seeds,final_avg_acc,final_avg_acc_ci_lo,final_avg_acc_ci_hi,bwt,bwt_ci_lo,bwt_ci_hi,avg_incremental_acc,avg_incremental_acc_ci_lo,avg_incremental_acc_ci_hi
cifar100,m0_fedavg,5,0.33352000000000004,0.3044516141943514,0.36258838580564867,-0.6675333333333333,-0.7023492174677016,-0.632717449198965,0.4801785476190476,0.45414081982433885,0.5062162754137564
cifar100,m1_glfc,5,0.8426600000000001,0.8404569647263372,0.8448630352736629,0.003511111111111119,0.0011163557983176046,0.005905866423904633,0.8708682460317458,0.8633039414817425,0.8784325505817492
cifar100,m2_target,5,0.83604,0.8313269077654108,0.8407530922345892,-0.03304444444444445,-0.03745558361583333,-0.028633305273055572,0.8767120396825397,0.8713957701409404,0.8820283092241391
cifar100,m3_fot,5,0.7479000000000001,0.7327929746283075,0.7630070253716927,-0.17613333333333336,-0.19651831523271568,-0.15574835143395105,0.8004956587301587,0.7863150638412207,0.8146762536190967
cifar100,m4_proto,5,0.7696000000000001,0.7696,0.7696000000000002,-0.06646666666666663,-0.07062893423587602,-0.06230439909745725,0.8242788095238096,0.8191995749945178,0.8293580440531014
cifar100,m5_hybrid_replay,5,0.8419399999999999,0.8342368782693671,0.8496431217306327,-0.03977777777777779,-0.046208229353549395,-0.03334732620200618,0.8762192857142856,0.871430518673221,0.8810080527553503
cifar100,m8_analytic,5,0.8833,0.8833,0.8833,-0.04502222222222223,-0.04828614017469515,-0.0417583042697493,0.9199810634920637,0.9167496292748386,0.9232124977092887
cub200,m0_fedavg,5,0.37904182115311613,0.3236701162885421,0.4344135260176902,-0.5489062462086933,-0.6199069471871839,-0.47790554523020284,0.5537451458005155,0.5269481810563577,0.5805421105446733
cub200,m1_glfc,5,0.6914194401449679,0.6807020231251083,0.7021368571648275,0.3523110396672446,0.31959939350971284,0.38502268582477633,0.7299574755734819,0.7064822462155765,0.7534327049313873
cub200,m2_target,5,0.789079284597169,0.7818512049994364,0.7963073641949017,0.4861049582996463,0.474130705925677,0.49807921067361555,0.7934475759200804,0.7879931079557858,0.798902043884375
cub200,m3_fot,5,0.6734206493116538,0.6614375503129502,0.6854037483103574,-0.02366822144705521,-0.10539680773594895,0.05806036484183854,0.7141060271813654,0.6848851528702264,0.7433269014925044
cub200,m4_proto,5,0.8571030618230431,0.8568948989997394,0.8573112246463468,-0.054795336185537044,-0.06046064319258569,-0.049130029178488396,0.9054446898751992,0.9013011717770802,0.9095882079733182
cub200,m5_hybrid_replay,5,0.779675444096313,0.7639131569463464,0.7954377312462795,0.32052881996407,0.2913486746084858,0.34970896531965423,0.8068119508367986,0.7989114849193671,0.81471241675423
cub200,m8_analytic,5,0.8714424499974669,0.8711697425590178,0.871715157435916,-0.048175524165642664,-0.05279722680113482,-0.043553821530150506,0.9141811471545234,0.908173702199448,0.9201885921095987
imagenet_r,m0_fedavg,5,0.24930318805768,0.22322710851893623,0.2753792675964238,-0.5281661802523813,-0.5647221410939253,-0.49161021941083727,0.36034391050908793,0.3563508716566863,0.3643369493614896
imagenet_r,m1_glfc,5,0.5971227594010788,0.5936825198000345,0.6005629990021232,0.12225603057120797,0.10820122840916711,0.13631083273324884,0.6180124294005342,0.6141227075806187,0.6219021512204498
imagenet_r,m2_target,5,0.6148098640619076,0.6099432459758702,0.619676482147945,0.09664244019955541,0.09261111831119685,0.10067376208791397,0.6499949706781945,0.6440857491887539,0.655904192167635
imagenet_r,m3_fot,5,0.45713158284531963,0.4426866362746044,0.47157652941603484,-0.25905479828007644,-0.28737559716699956,-0.23073399939315334,0.5257634231035448,0.5123021452310641,0.5392247009760256
imagenet_r,m4_proto,5,0.5144450569242739,0.5123622407286027,0.5165278731199451,-0.08741969081601567,-0.09347040603018111,-0.08136897560185022,0.5790828361456176,0.5620360368038175,0.5961296354874177
imagenet_r,m5_hybrid_replay,5,0.6312844002049737,0.6211459446784418,0.6414228557315056,0.06648608712480998,0.06074984325459079,0.07222233099502917,0.6613233069812801,0.6529966164246144,0.6696499975379457
imagenet_r,m8_analytic,5,0.6349921999883748,0.6343380560148216,0.6356463439619279,-0.08890963030047858,-0.09356530775839635,-0.0842539528425608,0.7063238141429314,0.6982627960385458,0.7143848322473171
