dataset,calibration_unit,eps0,T,unit,sigma,sensitivity,z,m_T,eps,eps0_analytic,delta0_analytic,scope
cifar100,U1,0.5,10,U1,9.944504652865689,1.4142135623730951,7.031826675582502,1,0.692518171125072,0.5,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,0.5,10,U2,9.944504652865689,1.4142135623730951,7.031826675582502,1,0.692518171125072,0.5,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,0.5,10,U3,9.944504652865689,1.4142135623730951,7.031826675582502,3,1.212741175982746,0.5,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,0.5,10,U4,9.944504652865689,1.4142135623730951,7.031826675582502,10,2.290406090403414,0.5,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,0.5,50,U1,9.944504652865689,1.4142135623730951,7.031826675582502,1,0.692518171125072,0.5,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,0.5,50,U2,9.944504652865689,1.4142135623730951,7.031826675582502,1,0.692518171125072,0.5,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,0.5,50,U3,9.944504652865689,1.4142135623730951,7.031826675582502,3,1.212741175982746,0.5,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,0.5,50,U4,9.944504652865689,1.4142135623730951,7.031826675582502,50,5.330936303778315,0.5,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,1.0,10,U1,5.275909854174812,1.4142135623730951,3.7306316348159383,1,1.3242590312218245,1.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,1.0,10,U2,5.275909854174812,1.4142135623730951,3.7306316348159383,1,1.3242590312218245,1.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,1.0,10,U3,5.275909854174812,1.4142135623730951,3.7306316348159383,3,2.356985010374796,1.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,1.0,10,U4,5.275909854174812,1.4142135623730951,3.7306316348159383,10,4.426738491823652,1.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,1.0,50,U1,5.275909854174812,1.4142135623730951,3.7306316348159383,1,1.3242590312218245,1.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,1.0,50,U2,5.275909854174812,1.4142135623730951,3.7306316348159383,1,1.3242590312218245,1.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,1.0,50,U3,5.275909854174812,1.4142135623730951,3.7306316348159383,3,2.356985010374796,1.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,1.0,50,U4,5.275909854174812,1.4142135623730951,3.7306316348159383,50,10.891495373182309,1.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,2.0,10,U1,2.8196766014573535,1.4142135623730951,1.9938124456435327,1,2.536984425096932,2.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,2.0,10,U2,2.8196766014573535,1.4142135623730951,1.9938124456435327,1,2.536984425096932,2.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,2.0,10,U3,2.8196766014573535,1.4142135623730951,1.9938124456435327,3,4.5458733751236675,2.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,2.0,10,U4,2.8196766014573535,1.4142135623730951,1.9938124456435327,10,8.868504946686468,2.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,2.0,50,U1,2.8196766014573535,1.4142135623730951,1.9938124456435327,1,2.536984425096932,2.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,2.0,50,U2,2.8196766014573535,1.4142135623730951,1.9938124456435327,1,2.536984425096932,2.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,2.0,50,U3,2.8196766014573535,1.4142135623730951,1.9938124456435327,3,4.5458733751236675,2.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,2.0,50,U4,2.8196766014573535,1.4142135623730951,1.9938124456435327,50,23.3075443080621,2.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,4.0,10,U1,1.5289937507119,1.4142135623730951,1.081161849520238,1,4.866077894990737,4.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,4.0,10,U2,1.5289937507119,1.4142135623730951,1.081161849520238,1,4.866077894990737,4.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,4.0,10,U3,1.5289937507119,1.4142135623730951,1.081161849520238,3,8.9706210934235,4.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,4.0,10,U4,1.5289937507119,1.4142135623730951,1.081161849520238,10,18.31268547240033,4.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,4.0,50,U1,1.5289937507119,1.4142135623730951,1.081161849520238,1,4.866077894990737,4.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,4.0,50,U2,1.5289937507119,1.4142135623730951,1.081161849520238,1,4.866077894990737,4.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,4.0,50,U3,1.5289937507119,1.4142135623730951,1.081161849520238,3,8.9706210934235,4.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,4.0,50,U4,1.5289937507119,1.4142135623730951,1.081161849520238,50,52.771006383807205,4.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,8.0,10,U1,0.848852094434377,1.4142135623730951,0.6002290721989516,1,9.382531760174462,8.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,8.0,10,U2,0.848852094434377,1.4142135623730951,0.6002290721989516,1,9.382531760174462,8.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,8.0,10,U3,0.848852094434377,1.4142135623730951,0.6002290721989516,3,18.011209485641523,8.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,8.0,10,U4,0.848852094434377,1.4142135623730951,0.6002290721989516,10,39.159201918666916,8.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,8.0,50,U1,0.848852094434377,1.4142135623730951,0.6002290721989516,1,9.382531760174462,8.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,8.0,50,U2,0.848852094434377,1.4142135623730951,0.6002290721989516,1,9.382531760174462,8.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,8.0,50,U3,0.848852094434377,1.4142135623730951,0.6002290721989516,3,18.011209485641523,8.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,8.0,50,U4,0.848852094434377,1.4142135623730951,0.6002290721989516,50,125.93531702809388,8.0,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,inf,10,U1,0.0,1.4142135623730951,0.0,1,inf,inf,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,inf,10,U2,0.0,1.4142135623730951,0.0,1,inf,inf,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,inf,10,U3,0.0,1.4142135623730951,0.0,3,inf,inf,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,inf,10,U4,0.0,1.4142135623730951,0.0,10,inf,inf,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,inf,50,U1,0.0,1.4142135623730951,0.0,1,inf,inf,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,inf,50,U2,0.0,1.4142135623730951,0.0,1,inf,inf,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,inf,50,U3,0.0,1.4142135623730951,0.0,3,inf,inf,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
cifar100,U1,inf,50,U4,0.0,1.4142135623730951,0.0,50,inf,inf,1e-05,FX1 record-composition convention; cross-unit group sensitivity not separately certified
