dataset,unit,eps,p,lambda,clip_C,ref_val_final_avg_acc,selected
cifar100,U1,0.5,32,0.01,49.908871342539484,0.021400000000000002,0
cifar100,U1,0.5,32,0.1,49.908871342539484,0.021400000000000002,0
cifar100,U1,0.5,32,1.0,49.908871342539484,0.021400000000000002,0
cifar100,U1,0.5,32,10.0,49.908871342539484,0.022800000000000004,0
cifar100,U1,0.5,32,100.0,49.908871342539484,0.039,0
cifar100,U1,1,32,0.01,49.908871342539484,0.0288,0
cifar100,U1,1,32,0.1,49.908871342539484,0.029599999999999998,0
cifar100,U1,1,32,1.0,49.908871342539484,0.0314,0
cifar100,U1,1,32,10.0,49.908871342539484,0.0422,0
cifar100,U1,1,32,100.0,49.908871342539484,0.072,0
cifar100,U1,2,32,0.01,49.908871342539484,0.0316,0
cifar100,U1,2,32,0.1,49.908871342539484,0.0326,0
cifar100,U1,2,32,1.0,49.908871342539484,0.038400000000000004,0
cifar100,U1,2,32,10.0,49.908871342539484,0.0792,0
cifar100,U1,2,32,100.0,49.908871342539484,0.16219999999999998,0
cifar100,U1,4,32,0.01,49.908871342539484,0.0186,0
cifar100,U1,4,32,0.1,49.908871342539484,0.031,0
cifar100,U1,4,32,1.0,49.908871342539484,0.0946,0
cifar100,U1,4,32,10.0,49.908871342539484,0.2444,0
cifar100,U1,4,32,100.0,49.908871342539484,0.32,0
cifar100,U1,8,32,0.01,49.908871342539484,0.4194000000000001,0
cifar100,U1,8,32,0.1,49.908871342539484,0.4192,0
cifar100,U1,8,32,1.0,49.908871342539484,0.4222,0
cifar100,U1,8,32,10.0,49.908871342539484,0.433,0
cifar100,U1,8,32,100.0,49.908871342539484,0.42300000000000004,0
cifar100,U1,inf,32,0.01,49.908871342539484,0.5516,0
cifar100,U1,inf,32,0.1,49.908871342539484,0.552,0
cifar100,U1,inf,32,1.0,49.908871342539484,0.5518000000000001,0
cifar100,U1,inf,32,10.0,49.908871342539484,0.5474000000000001,0
cifar100,U1,inf,32,100.0,49.908871342539484,0.5309999999999999,0
cifar100,U2,0.5,32,0.01,49.908871342539484,0.018,1
cifar100,U2,0.5,32,0.1,49.908871342539484,0.018,0
cifar100,U2,0.5,32,1.0,49.908871342539484,0.018,0
