key,value,ci_lo,ci_hi,unit,source_csv,row_filter,value_column,ci_lo_column,ci_hi_column,note
fx9_m9_gap_summary__cifar100__U1__0.5__gap_m9_minus_m8,-0.5177333333333333,-0.5391147228497442,-0.49635194381692244,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""0.5"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U1__1__gap_m9_minus_m8,-0.28729999999999994,-0.31948180990657965,-0.25511819009342024,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""1"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U1__2__gap_m9_minus_m8,-0.19356666666666664,-0.20080626968413598,-0.1863270636491973,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""2"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U1__4__gap_m9_minus_m8,-0.07280000000000002,-0.07379365508468787,-0.07180634491531217,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""4"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U1__8__gap_m9_minus_m8,-0.06533333333333331,-0.06788285426478231,-0.06278381240188431,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""8"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U1__inf__gap_m9_minus_m8,0.000200000000000052,0.00019999999999989275,0.00020000000000021124,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""inf"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U2__0.5__gap_m9_minus_m8,-0.8692333333333333,-0.8910772721678438,-0.8473893944988228,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""0.5"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U2__1__gap_m9_minus_m8,-0.8685666666666666,-0.888199738073554,-0.8489335952597792,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""1"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U2__2__gap_m9_minus_m8,-0.8688333333333332,-0.8855940542717298,-0.8520726123949367,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""2"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U2__4__gap_m9_minus_m8,-0.8677666666666667,-0.8801732704590025,-0.8553600628743309,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""4"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U2__8__gap_m9_minus_m8,-0.8661666666666665,-0.8726317911632868,-0.8597015421700462,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""8"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cifar100__U2__inf__gap_m9_minus_m8,-0.0028999999999999395,-0.005721438076640269,-7.856192335960925e-05,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cifar100"", ""eps"": ""inf"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U1__0.5__gap_m9_minus_m8,-0.8634166232040078,-0.8715761833942973,-0.8552570630137183,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""0.5"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U1__1__gap_m9_minus_m8,-0.8539301956157965,-0.8705998418574734,-0.8372605493741196,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""1"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U1__2__gap_m9_minus_m8,-0.8209982831304101,-0.8472225708530707,-0.7947739954077495,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""2"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U1__4__gap_m9_minus_m8,-0.7830602361839943,-0.806064620793715,-0.7600558515742737,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""4"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U1__8__gap_m9_minus_m8,-0.710165262474864,-0.7450076005012719,-0.6753229244484561,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""8"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U1__inf__gap_m9_minus_m8,-0.003481911520928397,-0.0035536499557001352,-0.003410173086156659,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""inf"", ""unit"": ""U1""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U2__0.5__gap_m9_minus_m8,-0.8681252193174612,-0.8706427598197112,-0.8656076788152113,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""0.5"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U2__1__gap_m9_minus_m8,-0.8677333054380286,-0.8718819253798958,-0.8635846854961614,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""1"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U2__2__gap_m9_minus_m8,-0.8659847042147993,-0.8755772247687256,-0.8563921836608731,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""2"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U2__4__gap_m9_minus_m8,-0.8653385009443623,-0.8750795565525991,-0.8555974453361255,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""4"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
fx9_m9_gap_summary__cub200__U2__8__gap_m9_minus_m8,-0.8639561751941692,-0.8739023657227976,-0.8540099846655409,gap_m9_minus_m8,results/fx9_m9_gap_summary.csv,"{""dataset"": ""cub200"", ""eps"": ""8"", ""unit"": ""U2""}",gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi,n_seeds=3
