dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cifar100,m0_fedavg,F1,full,leak_tpr1,0,0.027859653239091012,0.024389371131439457,0.03138343278210707,1.0,1.0,1.0,5
cifar100,m0_fedavg,F1,full,leak_tpr1,1,0.02869796020119367,0.025059893066144565,0.03244444312244488,1.046938591185398,0.9919479269280246,1.1057131591977762,5
cifar100,m0_fedavg,F1,full,leak_tpr1,2,0.02803562437982393,0.024377754876823168,0.031997874975149665,1.0098529987327947,0.9356143579549687,1.0986940728538535,5
cifar100,m0_fedavg,F1,full,leak_tpr1,3,0.02736351238396903,0.02397032200826129,0.030981750158209462,0.9722200174617031,0.8866076184597547,1.0789269678933422,5
cifar100,m0_fedavg,F1,full,leak_tpr1,4,0.026378562804588935,0.02288520857175336,0.030232014853315555,0.9170705939989763,0.8148996590594967,1.0312557246224023,5
cifar100,m0_fedavg,F1,full,leak_tpr1,5,0.02599484795604632,0.022454929341881393,0.03012529696173515,0.8955855828732985,0.7804722034072511,1.0308298682982329,5
cifar100,m0_fedavg,F1,full,leak_tpr1,6,0.025530479668001115,0.021900755103694027,0.029757798615553624,0.8695846139950898,0.748968055926766,1.0199728158016323,5
cifar100,m0_fedavg,F1,full,leak_auc,0,0.5589926998619308,0.5541085495576412,0.5637617253175121,1.0,1.0,1.0,5
cifar100,m0_fedavg,F1,full,leak_auc,1,0.5673658469909785,0.5626069638831168,0.5721050776913242,1.1419353097695915,1.115012245989172,1.1743370687498897,5
cifar100,m0_fedavg,F1,full,leak_auc,2,0.5686732326196423,0.5639598567710065,0.5735995471228315,1.1640971303291472,1.1300386458374498,1.2041427898705566,5
cifar100,m0_fedavg,F1,full,leak_auc,3,0.567930525832158,0.5631536362844107,0.5730313689839499,1.1515073219423027,1.111189004315194,1.1985008071002838,5
cifar100,m0_fedavg,F1,full,leak_auc,4,0.5662962922070873,0.5613709138086876,0.571494011689712,1.1238050193032392,1.077609860551757,1.1698528674029978,5
cifar100,m0_fedavg,F1,full,leak_auc,5,0.5646561672634154,0.5595295056141102,0.5700390110268314,1.0960028514500886,1.044733488119902,1.1464932577172868,5
cifar100,m0_fedavg,F1,full,leak_auc,6,0.5631560433536443,0.5579274316355016,0.5687910326594868,1.070573876114462,1.016076521297744,1.1232893476632928,5
