dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cifar100,m1_glfc,F1,full,leak_tpr1,0,0.027399269787455993,0.02346391987101756,0.03186308718222253,1.0,1.0,1.0,3
cifar100,m1_glfc,F1,full,leak_tpr1,1,0.03396792280610249,0.029414891855918803,0.039407828034058956,1.3775246374639336,1.2192302368648456,1.6212296807312065,3
cifar100,m1_glfc,F1,full,leak_tpr1,2,0.04014539053331595,0.03297053588395405,0.04666080451697705,1.7325664181061942,1.3797669967531243,2.1357290895955803,3
cifar100,m1_glfc,F1,full,leak_tpr1,3,0.044627721997652886,0.036482000782549054,0.05275170648559963,1.9901824858545358,1.5854904951328799,2.6384750121771408,3
cifar100,m1_glfc,F1,full,leak_tpr1,4,0.04912635284913287,0.040274732260417785,0.057941129949374365,2.248735339303781,1.8036596498712716,2.947838534210266,3
cifar100,m1_glfc,F1,full,leak_tpr1,5,0.051652757856304604,0.04322974088768114,0.06158373159145419,2.3939371229437554,1.9419213498593453,3.187120252428453,3
cifar100,m1_glfc,F1,full,leak_tpr1,6,0.05509192854348677,0.0466078942814845,0.06464859817073632,2.5915989058343016,2.0848197427638326,3.4017745206569985,3
cifar100,m1_glfc,F1,full,leak_auc,0,0.5552391660939108,0.5484027290623479,0.5627095457435,1.0,1.0,1.0,3
cifar100,m1_glfc,F1,full,leak_auc,1,0.5729634839558867,0.5657632484880653,0.5803103160775007,1.3208650512906592,1.2470010880065503,1.415823866227502,3
cifar100,m1_glfc,F1,full,leak_auc,2,0.5829575324480906,0.5755707610038033,0.5905012259364641,1.5017882838248584,1.3790187896911124,1.6517022342938992,3
cifar100,m1_glfc,F1,full,leak_auc,3,0.5916818690461126,0.5838315990355313,0.5999129175155082,1.6597257983628229,1.4943670623819345,1.871156307922959,3
cifar100,m1_glfc,F1,full,leak_auc,4,0.5985700234193385,0.5903367095006791,0.6070263646841553,1.7844227273772018,1.6069686809818817,2.014192640657444,3
cifar100,m1_glfc,F1,full,leak_auc,5,0.6040694981924221,0.5955985526470371,0.6132042538781993,1.8839802544357027,1.690610679442951,2.1364841410407807,3
cifar100,m1_glfc,F1,full,leak_auc,6,0.6084837319658047,0.5999774891241406,0.6177587109004384,1.9638915580545544,1.7635000237498897,2.2248252884106523,3
