dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cifar100,m4_proto,F2,full,leak_tpr1,0,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_tpr1,1,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_tpr1,2,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_tpr1,3,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_tpr1,4,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_tpr1,5,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_tpr1,6,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_auc,0,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_auc,1,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_auc,2,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_auc,3,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_auc,4,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_auc,5,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0,1.0,3
cifar100,m4_proto,F2,full,leak_auc,6,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0,1.0,3
