dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cifar100,m5_hybrid_replay,F1,full,leak_tpr1,0,0.03067712968206456,0.026567814200587986,0.035506000863971925,1.0,1.0,1.0,3
cifar100,m5_hybrid_replay,F1,full,leak_tpr1,1,0.041954534422781325,0.03552159383708806,0.04875681482035413,1.5454047497945924,1.333549625513385,1.7654175691163438,3
cifar100,m5_hybrid_replay,F1,full,leak_tpr1,2,0.048669201520912544,0.04165045490461759,0.05579178359060795,1.8701435893423055,1.5774433158631147,2.2055626695626827,3
cifar100,m5_hybrid_replay,F1,full,leak_tpr1,3,0.05227732384111318,0.044730364280375655,0.06066784218163535,2.0446418091474623,1.719878054630602,2.470569155988783,3
cifar100,m5_hybrid_replay,F1,full,leak_tpr1,4,0.05787557640967559,0.04999400065008877,0.06685970752137839,2.315387925975194,1.9413908408940883,2.8512166556776206,3
cifar100,m5_hybrid_replay,F1,full,leak_tpr1,5,0.06122481999838201,0.05283977242962785,0.06995323741566138,2.477366094135138,2.041212251328232,3.0681629901678678,3
cifar100,m5_hybrid_replay,F1,full,leak_tpr1,6,0.06363562818542189,0.05471450164476816,0.07333926972787827,2.5939590750811843,2.1302282512104127,3.2051415930920184,3
cifar100,m5_hybrid_replay,F1,full,leak_auc,0,0.5663378895054983,0.558349687303619,0.5749298057070157,1.0,1.0,1.0,3
cifar100,m5_hybrid_replay,F1,full,leak_auc,1,0.5917951128932188,0.5830966350646477,0.6011248498919913,1.3837508786831467,1.3082475748366336,1.488448053466495,3
cifar100,m5_hybrid_replay,F1,full,leak_auc,2,0.6050267532854053,0.5954846778126534,0.6149031616374904,1.583209144401561,1.4797132473476076,1.7318870294320503,3
cifar100,m5_hybrid_replay,F1,full,leak_auc,3,0.6143550786915712,0.6048412475195861,0.6247185359150835,1.7238275070854197,1.6029985562841467,1.8858433590509465,3
cifar100,m5_hybrid_replay,F1,full,leak_auc,4,0.6205051200975074,0.6109108801274448,0.6312737450797407,1.8165353314039243,1.6794189800462902,1.9929414506703507,3
cifar100,m5_hybrid_replay,F1,full,leak_auc,5,0.6242245193961047,0.6142915041007585,0.634998367867673,1.8726028265612589,1.729212344804678,2.0635512237652844,3
cifar100,m5_hybrid_replay,F1,full,leak_auc,6,0.6272808428317548,0.6171445102639229,0.6380188005482362,1.9186748897280677,1.7672270952236646,2.121641881791803,3
