dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cifar100,m8_analytic,F5,aggregate,leak_tpr1,0,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_tpr1,1,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_tpr1,2,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_tpr1,3,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_tpr1,4,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_tpr1,5,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_tpr1,6,0.9991860654403386,0.9975713114110633,0.9999186274397059,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_auc,0,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_auc,1,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_auc,2,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_auc,3,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_auc,4,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_auc,5,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,aggregate,leak_auc,6,0.9999611712101895,0.9999125504659061,0.9999865171654778,1.0,1.0,1.0,3
