dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cifar100,m8_analytic,F5,global,leak_tpr1,0,0.9660258184245226,0.954716685994908,0.9753844469305817,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,global,leak_tpr1,1,0.9583095931888848,0.9464317487374232,0.9691566825668327,0.9919288526659732,0.9899535983732195,0.9939899772458546,3
cifar100,m8_analytic,F5,global,leak_tpr1,2,0.9503491836103469,0.9369572213153222,0.962895742352949,0.9836022892770722,0.9794070254174378,0.9875429570289974,3
cifar100,m8_analytic,F5,global,leak_tpr1,3,0.9414771524849826,0.9282921419640118,0.9545089655315483,0.9743221726166404,0.9697523811483557,0.9795705239407269,3
cifar100,m8_analytic,F5,global,leak_tpr1,4,0.9323121001481385,0.9181995426861456,0.9464982759887683,0.9647355566903596,0.9582865982812455,0.9713941362120003,3
cifar100,m8_analytic,F5,global,leak_tpr1,5,0.9249214540363672,0.9082083719573643,0.9383783216627879,0.9570049640961651,0.948221736309287,0.9631953870579341,3
cifar100,m8_analytic,F5,global,leak_tpr1,6,0.9165052336844162,0.8988982065070937,0.9312724230166742,0.9482016240714988,0.9381331655751936,0.956014866821494,3
cifar100,m8_analytic,F5,global,leak_auc,0,0.9986535903794697,0.9981139273505126,0.9990712965457078,1.0,1.0,1.0,3
cifar100,m8_analytic,F5,global,leak_auc,1,0.9982506994994451,0.9976076684240238,0.9987618970068566,0.9991920425566013,0.9989399828287058,0.9994089521923668,3
cifar100,m8_analytic,F5,global,leak_auc,2,0.9977982412323179,0.997054354218855,0.998408432331312,0.9982846826661753,0.9977913553059811,0.9987101327550276,3
cifar100,m8_analytic,F5,global,leak_auc,3,0.9973143693467476,0.9964695719166701,0.9980122181049912,0.9973143258996632,0.996626240118386,0.9979292134454181,3
cifar100,m8_analytic,F5,global,leak_auc,4,0.9968046437681828,0.9958682495764107,0.9975953423766922,0.9962921221325614,0.9953985994776471,0.9970922163004331,3
cifar100,m8_analytic,F5,global,leak_auc,5,0.9962746175478477,0.9952394742586637,0.997156971787023,0.9952292074547954,0.9941117398844254,0.9962180956377619,3
cifar100,m8_analytic,F5,global,leak_auc,6,0.9957471326753377,0.9946211673065913,0.9967075087383518,0.9941713891964155,0.9928651009449199,0.995352254964212,3
