dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cub200,m0_fedavg,F1,full,leak_tpr1,0,0.05790390074035057,0.05350481802675816,0.06251657486585895,1.0,1.0,1.0,5
cub200,m0_fedavg,F1,full,leak_tpr1,1,0.03432534457027478,0.030712143673427315,0.03820325440874111,0.5077946512565515,0.4336663948824368,0.5858794392193329,5
cub200,m0_fedavg,F1,full,leak_tpr1,2,0.029748144246432368,0.026249676492467115,0.033697671326540946,0.4122450143146287,0.34322210755605664,0.49651464631878317,5
cub200,m0_fedavg,F1,full,leak_tpr1,3,0.027989933573288855,0.024743181475442688,0.03157459496120562,0.3755421436512688,0.3096916708873554,0.4538465188060882,5
cub200,m0_fedavg,F1,full,leak_tpr1,4,0.02667554307006506,0.02378154145513269,0.030310257510961128,0.3481040752912813,0.2896292373737544,0.4275678559261931,5
cub200,m0_fedavg,F1,full,leak_tpr1,5,0.025939094216681786,0.023044433753950124,0.02922208015301977,0.3327306121285425,0.2758612889365294,0.4047684608617056,5
cub200,m0_fedavg,F1,full,leak_tpr1,6,0.025351398277392485,0.02261122583340173,0.028597688294547598,0.32046238490264833,0.26645440509387414,0.39115580702074737,5
cub200,m0_fedavg,F1,full,leak_auc,0,0.6570406826594243,0.6505647918173428,0.6635234333983449,1.0,1.0,1.0,5
cub200,m0_fedavg,F1,full,leak_auc,1,0.6568786215511131,0.6508297803493512,0.6629181653372153,0.9989680310505104,0.9883250600894321,1.0105655723491371,5
cub200,m0_fedavg,F1,full,leak_auc,2,0.6498965642968659,0.6440092126988893,0.6558208601035846,0.9545078495484391,0.9314695081974987,0.9776334568131361,5
cub200,m0_fedavg,F1,full,leak_auc,3,0.6415432261425181,0.6353679213888227,0.648179653354776,0.9013156574814716,0.8692270025268485,0.9338411648143922,5
cub200,m0_fedavg,F1,full,leak_auc,4,0.6338049672373726,0.6275483707975894,0.6407121763462262,0.8520401527262637,0.8130371431746634,0.8903934010043141,5
cub200,m0_fedavg,F1,full,leak_auc,5,0.6274686796283544,0.620779011074515,0.634730116412009,0.8116920881246869,0.7673798160714413,0.8545813429771704,5
cub200,m0_fedavg,F1,full,leak_auc,6,0.6220423167579014,0.6151304349660127,0.62936294516101,0.7771382210721527,0.7297386597543314,0.8230299622181109,5
