dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cub200,m2_target,F1,full,leak_tpr1,0,0.07564161021365294,0.06899506971009269,0.08367986029154643,1.0,1.0,1.0,3
cub200,m2_target,F1,full,leak_tpr1,1,0.1854155810317874,0.16841985333740772,0.2036056579109632,2.6723229436456193,2.4485982524737477,2.9401232353780733,3
cub200,m2_target,F1,full,leak_tpr1,2,0.23238014590932776,0.2135659483566923,0.25217281035063344,3.387792365018407,3.0616043381967457,3.7236290318529353,3
cub200,m2_target,F1,full,leak_tpr1,3,0.2660076862949453,0.2410660202286878,0.2951820933616015,3.9000823633314483,3.5455207401928637,4.309011206700425,3
cub200,m2_target,F1,full,leak_tpr1,4,0.2872264200104221,0.2611970062866404,0.3159878601616081,4.223333631032121,3.8323646393304163,4.683750647188213,3
cub200,m2_target,F1,full,leak_tpr1,5,0.31056214174048985,0.28367685864079784,0.3421348706397387,4.578835600805771,4.126564401119578,5.127293769701117,3
cub200,m2_target,F1,full,leak_tpr1,6,0.328784523189161,0.30242446968467723,0.3558744070815664,4.856439720957002,4.38297256495276,5.398107442353148,3
cub200,m2_target,F1,full,leak_auc,0,0.6964476464360841,0.6866903592187806,0.7061178214973794,1.0,1.0,1.0,3
cub200,m2_target,F1,full,leak_auc,1,0.8210558724084617,0.8103587084997471,0.8325063501398147,1.6343075533507083,1.5837007453234122,1.6888881420507769,3
cub200,m2_target,F1,full,leak_auc,2,0.850110110207409,0.8392105725743543,0.8612018696089395,1.7822056744330619,1.725604694048613,1.84658878530898,3
cub200,m2_target,F1,full,leak_auc,3,0.8666602512822703,0.8561260217218708,0.8776524252014111,1.8664527569260863,1.7981711205661848,1.9445494407572257,3
cub200,m2_target,F1,full,leak_auc,4,0.878106330436111,0.867863332114265,0.8887252972057087,1.924718047254035,1.8501855740758752,2.0093929944223596,3
cub200,m2_target,F1,full,leak_auc,5,0.8878221189837835,0.8782168570352851,0.8976709538235165,1.9741754407323204,1.89386024594709,2.0653644401987488,3
cub200,m2_target,F1,full,leak_auc,6,0.896285618920346,0.8870241616707766,0.905402862641385,2.0172581657743645,1.9322204059039039,2.113549663629154,3
