dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cub200,m4_proto,F2,aggregate,leak_tpr1,0,0.832434802377318,0.8077790707525885,0.8576444939227216,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_tpr1,1,0.832434802377318,0.8077790707525885,0.8576444939227216,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_tpr1,2,0.832434802377318,0.8077790707525885,0.8576444939227216,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_tpr1,3,0.832434802377318,0.8077790707525885,0.8576444939227216,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_tpr1,4,0.832434802377318,0.8077790707525885,0.8576444939227216,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_tpr1,5,0.832434802377318,0.8077790707525885,0.8576444939227216,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_tpr1,6,0.832434802377318,0.8077790707525885,0.8576444939227216,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_auc,0,0.9889042539208681,0.986447708660362,0.9909540345368026,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_auc,1,0.9889042539208681,0.986447708660362,0.9909540345368026,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_auc,2,0.9889042539208681,0.986447708660362,0.9909540345368026,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_auc,3,0.9889042539208681,0.986447708660362,0.9909540345368026,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_auc,4,0.9889042539208681,0.986447708660362,0.9909540345368026,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_auc,5,0.9889042539208681,0.986447708660362,0.9909540345368026,1.0,1.0,1.0,3
cub200,m4_proto,F2,aggregate,leak_auc,6,0.9889042539208681,0.986447708660362,0.9909540345368026,1.0,1.0,1.0,3
