dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cub200,m4_proto,F2,full,leak_tpr1,0,0.9958678431584835,0.9931401330822065,0.9977057891944772,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_tpr1,1,0.9958678431584835,0.9931401330822065,0.9977057891944772,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_tpr1,2,0.9958678431584835,0.9931401330822065,0.9977057891944772,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_tpr1,3,0.9958678431584835,0.9931401330822065,0.9977057891944772,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_tpr1,4,0.9958678431584835,0.9931401330822065,0.9977057891944772,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_tpr1,5,0.9958678431584835,0.9931401330822065,0.9977057891944772,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_tpr1,6,0.9958678431584835,0.9931401330822065,0.9977057891944772,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_auc,0,0.9995468107509874,0.9993251650138342,0.9997274664913732,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_auc,1,0.9995468107509874,0.9993251650138342,0.9997274664913732,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_auc,2,0.9995468107509874,0.9993251650138342,0.9997274664913732,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_auc,3,0.9995468107509874,0.9993251650138342,0.9997274664913732,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_auc,4,0.9995468107509874,0.9993251650138342,0.9997274664913732,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_auc,5,0.9995468107509874,0.9993251650138342,0.9997274664913732,1.0,1.0,1.0,3
cub200,m4_proto,F2,full,leak_auc,6,0.9995468107509874,0.9993251650138342,0.9997274664913732,1.0,1.0,1.0,3
