dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cub200,m5_hybrid_replay,F1,full,leak_tpr1,0,0.06357618053743803,0.054200546484027674,0.07197189063750817,1.0,1.0,1.0,3
cub200,m5_hybrid_replay,F1,full,leak_tpr1,1,0.09737803287242369,0.08897063947977135,0.10670892065669256,1.6309119462400938,1.4724064803292745,1.8928108517239406,3
cub200,m5_hybrid_replay,F1,full,leak_tpr1,2,0.13292460213931645,0.11993475599830844,0.14603806888802015,2.2943890532364293,2.052283393492809,2.6631483660458133,3
cub200,m5_hybrid_replay,F1,full,leak_tpr1,3,0.16387294547351944,0.1439399037788635,0.18521670565880455,2.8720402225387436,2.563446614686613,3.287932408645968,3
cub200,m5_hybrid_replay,F1,full,leak_tpr1,4,0.19764218627706756,0.17427591807723516,0.22565349264187817,3.5023434741852624,3.148669383842787,4.021573906442247,3
cub200,m5_hybrid_replay,F1,full,leak_tpr1,5,0.23198212888077224,0.2043845500254797,0.2612275608855264,4.143298881219337,3.699345612360232,4.7515506716382765,3
cub200,m5_hybrid_replay,F1,full,leak_tpr1,6,0.2613814244716932,0.23181669119870044,0.2931638930303682,4.692037057326858,4.2030100564518325,5.407292042870115,3
cub200,m5_hybrid_replay,F1,full,leak_auc,0,0.672529006305274,0.6620317681889344,0.6841459631849258,1.0,1.0,1.0,3
cub200,m5_hybrid_replay,F1,full,leak_auc,1,0.7287681451191236,0.7191874833100005,0.7391148779836193,1.3259691805929703,1.2888235371606747,1.3649860836718104,3
cub200,m5_hybrid_replay,F1,full,leak_auc,2,0.7686478124600129,0.7581305504700316,0.7798716617558858,1.5571167898843956,1.5029362749415596,1.616358197861743,3
cub200,m5_hybrid_replay,F1,full,leak_auc,3,0.8004637585880982,0.7884320905947075,0.8129757629021441,1.7415260484167834,1.6797098307858709,1.8103099618659433,3
cub200,m5_hybrid_replay,F1,full,leak_auc,4,0.8223190546597695,0.8095651064317819,0.835385464349219,1.8682021160514652,1.8003872351008543,1.9442091403233965,3
cub200,m5_hybrid_replay,F1,full,leak_auc,5,0.840160761799452,0.827782817408092,0.8527855797777653,1.9716149132486696,1.8942485913798581,2.058179564906085,3
cub200,m5_hybrid_replay,F1,full,leak_auc,6,0.8543641741052883,0.8424055120702235,0.8665177971824116,2.0539396921945627,1.9689495352067425,2.147779499162837,3
