dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cub200,m8_analytic,F5,global,leak_tpr1,0,1.0,1.0,1.0,1.0,1.0,1.0,3
cub200,m8_analytic,F5,global,leak_tpr1,1,1.0,1.0,1.0,1.0,1.0,1.0,3
cub200,m8_analytic,F5,global,leak_tpr1,2,1.0,1.0,1.0,1.0,1.0,1.0,3
cub200,m8_analytic,F5,global,leak_tpr1,3,1.0,1.0,1.0,1.0,1.0,1.0,3
cub200,m8_analytic,F5,global,leak_tpr1,4,1.0,1.0,1.0,1.0,1.0,1.0,3
cub200,m8_analytic,F5,global,leak_tpr1,5,1.0,1.0,1.0,1.0,1.0,1.0,3
cub200,m8_analytic,F5,global,leak_tpr1,6,1.0,1.0,1.0,1.0,1.0,1.0,3
cub200,m8_analytic,F5,global,leak_auc,0,0.9999995135089182,0.9999922157124185,1.0,1.0,1.0,1.0,3
cub200,m8_analytic,F5,global,leak_auc,1,0.9999995523753252,0.9999929870802645,1.0,1.0000000777328897,1.0,1.00000164148617,3
cub200,m8_analytic,F5,global,leak_auc,2,0.9999995330743204,0.9999930132332223,1.0,1.0000000391308423,0.9999999725029756,1.0000018613778139,3
cub200,m8_analytic,F5,global,leak_auc,3,0.9999994500535597,0.9999925197925145,1.0,0.9999998730891595,0.9999997149767547,1.0000009826897065,3
cub200,m8_analytic,F5,global,leak_auc,4,0.9999994270509922,0.99999247287966,1.0,0.9999998270839797,0.9999996249954346,1.0000008780816831,3
cub200,m8_analytic,F5,global,leak_auc,5,0.9999993503757674,0.9999921697140405,1.0,0.9999996737333808,0.9999992255841695,1.0000006346340138,3
cub200,m8_analytic,F5,global,leak_auc,6,0.9999993133601416,0.9999921192117889,1.0,0.9999995997020572,0.9999990237343969,1.0000005334320183,3
