dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
imagenet_r,m1_glfc,F1,full,leak_tpr1,0,0.05955608956144766,0.05278409582657981,0.0665145314659764,1.0,1.0,1.0,3
imagenet_r,m1_glfc,F1,full,leak_tpr1,1,0.0776274984169251,0.06971781163246253,0.08613640088950726,1.3646657558213826,1.2649636682053187,1.4787560935856132,3
imagenet_r,m1_glfc,F1,full,leak_tpr1,2,0.09698160385783175,0.08879227451439571,0.10583127381940789,1.7552152445357476,1.5853369397755592,1.982054130709927,3
imagenet_r,m1_glfc,F1,full,leak_tpr1,3,0.11972917241715242,0.10955979047505414,0.13002515375374,2.2142419506505338,1.9521503812307877,2.549073662349818,3
imagenet_r,m1_glfc,F1,full,leak_tpr1,4,0.14280147428923995,0.13026307593706307,0.15574409536789716,2.6798215005356947,2.3503054227153655,3.1289338724230666,3
imagenet_r,m1_glfc,F1,full,leak_tpr1,5,0.16369806296578934,0.14860876317616434,0.17825444453351635,3.1014969971593422,2.695835959797811,3.5991163122438796,3
imagenet_r,m1_glfc,F1,full,leak_tpr1,6,0.18095763853934957,0.16492346459833415,0.19713435212577501,3.449780643554787,2.9907362090684417,4.026718946814797,3
imagenet_r,m1_glfc,F1,full,leak_auc,0,0.6450617459274478,0.6362674251413237,0.6542129091508995,1.0,1.0,1.0,3
imagenet_r,m1_glfc,F1,full,leak_auc,1,0.6767431218143348,0.6690692870947982,0.6851130118039943,1.2183992456752337,1.1710851971671048,1.2729842747995257,3
imagenet_r,m1_glfc,F1,full,leak_auc,2,0.7056090554906018,0.6960513020842184,0.7152264413625291,1.4173899133506678,1.345098547580663,1.5085342009031335,3
imagenet_r,m1_glfc,F1,full,leak_auc,3,0.7289875619830731,0.7179979437192915,0.7396287951099029,1.578552364160849,1.4902925524351622,1.6882069740927446,3
imagenet_r,m1_glfc,F1,full,leak_auc,4,0.7485909330659741,0.7375715371905204,0.7594767541520271,1.7136904803993338,1.618047488856133,1.8324767091652132,3
imagenet_r,m1_glfc,F1,full,leak_auc,5,0.7647875103131387,0.7539245290335721,0.7758460454607472,1.8253434675022553,1.720859584569927,1.9506903540270617,3
imagenet_r,m1_glfc,F1,full,leak_auc,6,0.7778946126520528,0.766745108216702,0.7891521750537434,1.9156988003649218,1.807797650277473,2.0472555709441718,3
