dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
imagenet_r,m2_target,F1,full,leak_tpr1,0,0.09454657558696111,0.08397693820715596,0.10602069312121931,1.0,1.0,1.0,3
imagenet_r,m2_target,F1,full,leak_tpr1,1,0.15039509337833235,0.1288259368898159,0.17215747205566276,1.6605651075001582,1.5337438895716478,1.8076422885367311,3
imagenet_r,m2_target,F1,full,leak_tpr1,2,0.1766805665979783,0.14835708748769277,0.20465425129316606,1.9714644317739105,1.791727906165878,2.154491509221791,3
imagenet_r,m2_target,F1,full,leak_tpr1,3,0.1997533708685564,0.17299074246900187,0.22670197856611826,2.244364949747538,2.0673161887754516,2.4227111537297947,3
imagenet_r,m2_target,F1,full,leak_tpr1,4,0.21627103243497592,0.18586762766903078,0.2451283281761616,2.4397325498158593,2.24011419972488,2.6369531317917203,3
imagenet_r,m2_target,F1,full,leak_tpr1,5,0.22787233697327644,0.19651568868399166,0.25783666292288315,2.5769504614552003,2.3658142687250767,2.7847372392283107,3
imagenet_r,m2_target,F1,full,leak_tpr1,6,0.2353685645211014,0.20388811678849197,0.2684976582649046,2.6656143428221593,2.4613843728472804,2.8860027771165595,3
imagenet_r,m2_target,F1,full,leak_auc,0,0.7142164435635899,0.7038418230491565,0.7247918958769483,1.0,1.0,1.0,3
imagenet_r,m2_target,F1,full,leak_auc,1,0.7755402858210972,0.7620139606670804,0.7882549750891783,1.2862704712922908,1.260224030377782,1.3158176946718947,3
imagenet_r,m2_target,F1,full,leak_auc,2,0.8002119890112879,0.7847369663406372,0.8138192223535506,1.401442317018816,1.3650039095232036,1.4373276911882416,3
imagenet_r,m2_target,F1,full,leak_auc,3,0.8138791132208241,0.7977778015403154,0.8275965959155475,1.4652428543733589,1.424799511930361,1.5042639024368032,3
imagenet_r,m2_target,F1,full,leak_auc,4,0.822883394144207,0.8062201099069127,0.8369077448703401,1.5072764199278632,1.4640899336247453,1.5486212890762499,3
imagenet_r,m2_target,F1,full,leak_auc,5,0.8302476581082849,0.8132847779651499,0.8443703169789666,1.5416540981376683,1.4968283568078238,1.5853085847896988,3
imagenet_r,m2_target,F1,full,leak_auc,6,0.8360434668099501,0.8192244331223629,0.8501443918604017,1.5687099515784648,1.5239394334951155,1.612919682271532,3
