dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,0,0.08649493600807634,0.07463017908377939,0.09712815995410297,1.0,1.0,1.0,3
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,1,0.13946331455368483,0.12234650055855195,0.15936879703287543,1.692442942105554,1.586886213716874,1.8361156686430145,3
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,2,0.1867326668186407,0.16441217915414996,0.2099331699683521,2.310383876914169,2.1289865777947132,2.5506676592574364,3
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,3,0.22278307877682613,0.20097998768240846,0.2466866922154472,2.781662288786809,2.5567777236818476,3.1556125907645574,3
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,4,0.24989416094050215,0.22898679005070918,0.2747300993818762,3.136078980642249,2.8647855430410245,3.612956061280884,3
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,5,0.27417201289608234,0.25335672680896565,0.29776871256559906,3.4534575317272114,3.134523395829049,4.033569564239243,3
imagenet_r,m5_hybrid_replay,F1,full,leak_tpr1,6,0.2922623506040968,0.27012784966211256,0.31642534981967574,3.6899481891754964,3.3272618003685026,4.304938251899192,3
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,0,0.6962446346553818,0.6834011520018213,0.7085265263075721,1.0,1.0,1.0,3
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,1,0.7605634617297542,0.7492903058060923,0.7720016496939516,1.3277482066570656,1.2916055214448414,1.3721014303834012,3
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,2,0.7960045140457098,0.7851622964222598,0.808048883903868,1.5083444934202295,1.4468089080000146,1.5779954584137006,3
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,3,0.8166681494025072,0.8062334926002299,0.8276762246142535,1.6136397815848411,1.5423763766565695,1.7000599104882104,3
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,4,0.8292683408734614,0.8188015637886146,0.8398874910578034,1.6778463342535594,1.6021927470028678,1.7699465009086905,3
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,5,0.8374428683263809,0.8264809824199223,0.8482987026314063,1.719501116139824,1.6417676855181855,1.8132307236333849,3
imagenet_r,m5_hybrid_replay,F1,full,leak_auc,6,0.8434821215926422,0.8324453191800133,0.8545278359138877,1.7502752225344604,1.6697649468620301,1.8467003043763488,3
