dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
imagenet_r,m8_analytic,F5,global,leak_tpr1,0,0.9956270117371655,0.9910177548835916,0.9980504155307417,1.0,1.0,1.0,3
imagenet_r,m8_analytic,F5,global,leak_tpr1,1,0.9940501349286341,0.9890904126675952,0.9972207905522001,0.9984001282536361,0.9976027826782323,0.9993126155299435,3
imagenet_r,m8_analytic,F5,global,leak_tpr1,2,0.9922131547290047,0.9872302361713754,0.9961829165257046,0.9965363601367379,0.9953782677444373,0.9982591890550739,3
imagenet_r,m8_analytic,F5,global,leak_tpr1,3,0.9904574568390936,0.9848449565721404,0.9949150254133479,0.9947550596356317,0.9930450587054361,0.9969743448863753,3
imagenet_r,m8_analytic,F5,global,leak_tpr1,4,0.98819780862893,0.9821219090267893,0.9933921723302994,0.9924624599166154,0.9900361577550754,0.9953913464886099,3
imagenet_r,m8_analytic,F5,global,leak_tpr1,5,0.9861007250382027,0.9801653217843398,0.9917976546346956,0.9903347954291829,0.9875300187658337,0.9937450121226934,3
imagenet_r,m8_analytic,F5,global,leak_tpr1,6,0.9841336931430243,0.9780644210822813,0.9901029246931663,0.9883390791270176,0.9850945979024262,0.9920796855749198,3
imagenet_r,m8_analytic,F5,global,leak_auc,0,0.9998456617013021,0.9997452907420028,0.9999134824165999,1.0,1.0,1.0,3
imagenet_r,m8_analytic,F5,global,leak_auc,1,0.9997955573957114,0.9996738279158792,0.9998814864656246,0.9998997604472145,0.9998449962690386,0.9999388405081538,3
imagenet_r,m8_analytic,F5,global,leak_auc,2,0.999741252680094,0.9995942736488542,0.9998462107225857,0.9997911174804384,0.9996842200924667,0.9998720204349603,3
imagenet_r,m8_analytic,F5,global,leak_auc,3,0.99968330886058,0.9995167426852648,0.9998090142427737,0.999675194058563,0.9995157975563745,0.9997995652913403,3
imagenet_r,m8_analytic,F5,global,leak_auc,4,0.9996186547492251,0.9994253004325907,0.9997674568327364,0.9995458459091066,0.9993294586536677,0.999716228649971,3
imagenet_r,m8_analytic,F5,global,leak_auc,5,0.9995528550234277,0.9993319515069083,0.999725363971648,0.9994142058232981,0.9991383876002597,0.9996308087168515,3
imagenet_r,m8_analytic,F5,global,leak_auc,6,0.9994825204305834,0.9992318938577747,0.9996763225183974,0.9992734932029165,0.9989373902552158,0.9995367471115902,3
