method,dataset,n_tasks_requested,n_tasks_actual,seed,final_avg_acc,bwt,avg_incremental_acc,n_ledger_records,status
M0,camelyon17,5,5,0,0.9339326950279799,-0.044587624057214365,0.9478194369906239,5,stale_pre_fix_2026-09-15
M0,camelyon17,5,5,1,0.9339326950279799,-0.044587624057214365,0.9478194369906239,5,stale_pre_fix_2026-09-15
M0,camelyon17,5,5,2,0.9339326950279799,-0.044587624057214365,0.9478194369906239,5,stale_pre_fix_2026-09-15
M0,cifar100,10,10,0,0.7367,-0.24266666666666664,0.8182780158730159,100,post_fix_t10_2026-09-23
M0,cifar100,10,10,1,0.7270999999999999,-0.2543333333333333,0.8253180555555554,100,post_fix_t10_2026-09-23
M0,cifar100,10,10,2,0.7324,-0.24399999999999997,0.8114010714285715,100,post_fix_t10_2026-09-23
M0,cifar100,20,20,0,0.69855,-0.2868947368421053,0.7982267200042819,200,stale_pre_fix_2026-09-15
M0,cifar100,20,20,1,0.7008,-0.28294736842105267,0.8058865529090579,200,stale_pre_fix_2026-09-15
M0,cifar100,20,20,2,0.6971499999999999,-0.28726315789473683,0.7862491743034015,200,stale_pre_fix_2026-09-15
M0,cub200,10,10,0,0.6150653031473594,-0.363014226352119,0.7504435831597221,100,post_fix_t10_2026-09-23
M0,cub200,10,10,1,0.6081255209946861,-0.3746961970352201,0.7560380978164021,100,post_fix_t10_2026-09-23
M0,cub200,10,10,2,0.5820933378564398,-0.4219257209854311,0.7615566277959307,100,post_fix_t10_2026-09-23
M0,imagenet_r,10,10,0,0.5687996990808011,-0.1760101011258349,0.6316399821564623,100,post_fix_t10_2026-09-23
M0,imagenet_r,10,10,1,0.5631178498188776,-0.1804450896935659,0.6523803270009382,100,post_fix_t10_2026-09-23
M0,imagenet_r,10,10,2,0.5744682382667615,-0.16722252954000424,0.6460108578561641,100,post_fix_t10_2026-09-23
M0,imagenet_r,20,20,0,0.6187401729592319,-0.23116963778509966,0.7110567186197776,200,stale_pre_fix_2026-09-15
M0,imagenet_r,20,20,1,0.6235206866676252,-0.21587792942858913,0.7152558054605601,200,stale_pre_fix_2026-09-15
M0,imagenet_r,20,20,2,0.611414475468216,-0.22677015909525822,0.7075857999055171,200,stale_pre_fix_2026-09-15
M1,camelyon17,5,5,0,0.8429959065894529,-0.023477766607072403,0.9004642248973687,15,stale_pre_fix_2026-09-15
M1,camelyon17,5,5,1,0.8500826959045649,-0.018777313388535,0.9022872679398853,15,stale_pre_fix_2026-09-15
M1,camelyon17,5,5,2,0.8435290970617861,-0.023400453154124312,0.9002571109967578,15,stale_pre_fix_2026-09-15
M1,cifar100,10,10,0,0.8703999999999998,-0.0118888888888889,0.9036719841269841,200,post_fix_t10_2026-09-23
M1,cifar100,10,10,1,0.8688,-0.007888888888888897,0.9048236507936508,200,post_fix_t10_2026-09-23
M1,cifar100,10,10,2,0.8712,-0.009777777777777774,0.8967770238095237,200,post_fix_t10_2026-09-23
M1,cifar100,20,20,0,0.8182750000000001,0.20165789473684212,0.8387938624486109,600,stale_pre_fix_2026-09-15
