dataset,method,view,condition,elapsed,tpr1,tpr01,auc
cifar100,m0_fedavg,full,elapsed=0,0,"0.028 [0.024, 0.031]","0.007 [0.005, 0.009]","0.559 [0.554, 0.564]"
cifar100,m0_fedavg,full,elapsed=max,6,"0.026 [0.022, 0.030]","0.005 [0.003, 0.008]","0.563 [0.558, 0.569]"
cifar100,m1_glfc,full,elapsed=0,0,"0.027 [0.023, 0.032]","0.007 [0.005, 0.009]","0.555 [0.548, 0.563]"
cifar100,m1_glfc,full,elapsed=max,6,"0.055 [0.047, 0.065]","0.023 [0.018, 0.029]","0.608 [0.600, 0.618]"
cifar100,m2_target,full,elapsed=0,0,"0.032 [0.027, 0.038]","0.008 [0.005, 0.013]","0.575 [0.568, 0.582]"
cifar100,m2_target,full,elapsed=max,6,"0.042 [0.035, 0.049]","0.010 [0.006, 0.014]","0.629 [0.622, 0.636]"
cifar100,m3_fot,full,elapsed=0,0,"0.029 [0.024, 0.034]","0.005 [0.004, 0.007]","0.570 [0.562, 0.579]"
cifar100,m3_fot,full,elapsed=max,6,"0.038 [0.033, 0.043]","0.008 [0.006, 0.010]","0.603 [0.594, 0.613]"
cifar100,m4_proto,aggregate,elapsed=0,0,"0.058 [0.051, 0.066]","0.010 [0.008, 0.014]","0.681 [0.676, 0.686]"
cifar100,m4_proto,aggregate,elapsed=max,6,"0.058 [0.051, 0.066]","0.010 [0.008, 0.014]","0.681 [0.676, 0.686]"
cifar100,m4_proto,full,elapsed=0,0,"0.343 [0.314, 0.374]","0.183 [0.155, 0.219]","0.883 [0.873, 0.892]"
cifar100,m4_proto,full,elapsed=max,6,"0.343 [0.314, 0.374]","0.183 [0.155, 0.219]","0.883 [0.873, 0.892]"
cifar100,m4_proto,global,elapsed=0,0,"0.058 [0.051, 0.066]","0.010 [0.008, 0.014]","0.681 [0.676, 0.686]"
cifar100,m4_proto,global,elapsed=max,6,"0.058 [0.051, 0.066]","0.010 [0.008, 0.014]","0.681 [0.676, 0.686]"
cifar100,m5_hybrid_replay,full,elapsed=0,0,"0.031 [0.027, 0.036]","0.008 [0.004, 0.013]","0.566 [0.558, 0.575]"
cifar100,m5_hybrid_replay,full,elapsed=max,6,"0.064 [0.055, 0.073]","0.024 [0.018, 0.031]","0.627 [0.617, 0.638]"
cifar100,m8_analytic,aggregate,elapsed=0,0,"0.999 [0.998, 1.000]","0.993 [0.988, 0.997]","1.000 [1.000, 1.000]"
cifar100,m8_analytic,aggregate,elapsed=max,6,"0.999 [0.998, 1.000]","0.993 [0.988, 0.997]","1.000 [1.000, 1.000]"
cifar100,m8_analytic,full,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
cifar100,m8_analytic,full,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
cifar100,m8_analytic,global,elapsed=0,0,"0.966 [0.955, 0.975]","0.911 [0.882, 0.932]","0.999 [0.998, 0.999]"
cifar100,m8_analytic,global,elapsed=max,6,"0.917 [0.899, 0.931]","0.816 [0.791, 0.845]","0.996 [0.995, 0.997]"
cub200,m0_fedavg,full,elapsed=0,0,"0.058 [0.054, 0.063]","0.016 [0.014, 0.018]","0.657 [0.651, 0.664]"
cub200,m0_fedavg,full,elapsed=max,6,"0.025 [0.023, 0.029]","0.004 [0.003, 0.004]","0.622 [0.615, 0.629]"
cub200,m1_glfc,full,elapsed=0,0,"0.038 [0.031, 0.045]","0.006 [0.004, 0.010]","0.616 [0.606, 0.628]"
cub200,m1_glfc,full,elapsed=max,6,"0.120 [0.099, 0.145]","0.023 [0.015, 0.035]","0.779 [0.765, 0.791]"
cub200,m2_target,full,elapsed=0,0,"0.076 [0.069, 0.084]","0.019 [0.012, 0.026]","0.696 [0.687, 0.706]"
cub200,m2_target,full,elapsed=max,6,"0.329 [0.302, 0.356]","0.149 [0.117, 0.176]","0.896 [0.887, 0.905]"
cub200,m3_fot,full,elapsed=0,0,"0.062 [0.052, 0.074]","0.015 [0.011, 0.021]","0.680 [0.665, 0.698]"
cub200,m3_fot,full,elapsed=max,6,"0.090 [0.075, 0.110]","0.011 [0.004, 0.020]","0.732 [0.714, 0.753]"
cub200,m4_proto,aggregate,elapsed=0,0,"0.832 [0.808, 0.858]","0.648 [0.604, 0.690]","0.989 [0.986, 0.991]"
cub200,m4_proto,aggregate,elapsed=max,6,"0.832 [0.808, 0.858]","0.648 [0.604, 0.690]","0.989 [0.986, 0.991]"
cub200,m4_proto,full,elapsed=0,0,"0.996 [0.993, 0.998]","0.969 [0.951, 0.986]","1.000 [0.999, 1.000]"
cub200,m4_proto,full,elapsed=max,6,"0.996 [0.993, 0.998]","0.969 [0.951, 0.986]","1.000 [0.999, 1.000]"
cub200,m4_proto,global,elapsed=0,0,"0.832 [0.808, 0.858]","0.648 [0.604, 0.690]","0.989 [0.986, 0.991]"
cub200,m4_proto,global,elapsed=max,6,"0.832 [0.808, 0.858]","0.648 [0.604, 0.690]","0.989 [0.986, 0.991]"
cub200,m5_hybrid_replay,full,elapsed=0,0,"0.064 [0.054, 0.072]","0.016 [0.013, 0.021]","0.673 [0.662, 0.684]"
cub200,m5_hybrid_replay,full,elapsed=max,6,"0.261 [0.232, 0.293]","0.117 [0.094, 0.146]","0.854 [0.842, 0.867]"
cub200,m8_analytic,aggregate,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [0.998, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,aggregate,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [0.998, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,full,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,full,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,global,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [0.997, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,global,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [0.997, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m0_fedavg,full,elapsed=0,0,"0.074 [0.069, 0.080]","0.022 [0.019, 0.026]","0.678 [0.672, 0.684]"
imagenet_r,m0_fedavg,full,elapsed=max,6,"0.072 [0.062, 0.081]","0.014 [0.009, 0.022]","0.693 [0.685, 0.702]"
imagenet_r,m1_glfc,full,elapsed=0,0,"0.060 [0.053, 0.067]","0.015 [0.011, 0.020]","0.645 [0.636, 0.654]"
imagenet_r,m1_glfc,full,elapsed=max,6,"0.181 [0.165, 0.197]","0.079 [0.062, 0.094]","0.778 [0.767, 0.789]"
imagenet_r,m2_target,full,elapsed=0,0,"0.095 [0.084, 0.106]","0.027 [0.019, 0.037]","0.714 [0.704, 0.725]"
imagenet_r,m2_target,full,elapsed=max,6,"0.235 [0.204, 0.268]","0.105 [0.085, 0.124]","0.836 [0.819, 0.850]"
imagenet_r,m3_fot,full,elapsed=0,0,"0.079 [0.067, 0.090]","0.025 [0.017, 0.034]","0.691 [0.681, 0.702]"
imagenet_r,m3_fot,full,elapsed=max,6,"0.090 [0.073, 0.111]","0.008 [0.003, 0.019]","0.729 [0.717, 0.743]"
imagenet_r,m4_proto,aggregate,elapsed=0,0,"0.240 [0.216, 0.268]","0.102 [0.084, 0.127]","0.842 [0.828, 0.857]"
imagenet_r,m4_proto,aggregate,elapsed=max,6,"0.240 [0.216, 0.268]","0.102 [0.084, 0.127]","0.842 [0.828, 0.857]"
imagenet_r,m4_proto,full,elapsed=0,0,"0.732 [0.702, 0.763]","0.562 [0.523, 0.597]","0.977 [0.973, 0.981]"
imagenet_r,m4_proto,full,elapsed=max,6,"0.732 [0.702, 0.763]","0.562 [0.523, 0.597]","0.977 [0.973, 0.981]"
imagenet_r,m4_proto,global,elapsed=0,0,"0.240 [0.216, 0.268]","0.102 [0.084, 0.127]","0.842 [0.828, 0.857]"
imagenet_r,m4_proto,global,elapsed=max,6,"0.240 [0.216, 0.268]","0.102 [0.084, 0.127]","0.842 [0.828, 0.857]"
imagenet_r,m5_hybrid_replay,full,elapsed=0,0,"0.086 [0.075, 0.097]","0.029 [0.022, 0.037]","0.696 [0.683, 0.709]"
imagenet_r,m5_hybrid_replay,full,elapsed=max,6,"0.292 [0.270, 0.316]","0.159 [0.137, 0.183]","0.843 [0.832, 0.855]"
imagenet_r,m8_analytic,aggregate,elapsed=0,0,"1.000 [1.000, 1.000]","0.997 [0.991, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,aggregate,elapsed=max,6,"1.000 [1.000, 1.000]","0.997 [0.991, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,full,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,full,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,global,elapsed=0,0,"0.996 [0.991, 0.998]","0.981 [0.972, 0.987]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,global,elapsed=max,6,"0.984 [0.978, 0.990]","0.956 [0.941, 0.967]","0.999 [0.999, 1.000]"
