dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
cifar100,m0_fedavg,F1,full,acc,n/a,0.8735735138004246,1,ok,0.8004065906714731,0.9660518699588632,6,0.8777666666666667,0.8601491666666666,per-task a0(t)=1/classes_seen,,
cifar100,m0_fedavg,F1,full,leak_auc,last_round,6.0,,censored,,,6,0.5589926998619308,0.5541085495576412,0.5,,
cifar100,m0_fedavg,F1,full,leak_auc,trajectory,6.0,,censored,,,6,0.5589926998619308,0.5541085495576412,0.5,,
cifar100,m0_fedavg,F1,full,leak_tpr1,last_round,1.9066745843230377,2,ok,0.9091322878469092,6.0,6,0.027859653239091012,0.024389371131439457,0.01,,
cifar100,m0_fedavg,F1,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.027859653239091012,0.024389371131439457,0.01,,
cifar100,m1_glfc,F1,full,acc,n/a,6.0,,censored,,,6,0.8268166666666668,0.8058141666666668,per-task a0(t)=1/classes_seen,,
cifar100,m1_glfc,F1,full,leak_auc,last_round,6.0,,censored,,,6,0.5552391660939108,0.5484027290623479,0.5,,
cifar100,m1_glfc,F1,full,leak_auc,trajectory,6.0,,censored,,,6,0.5552391660939108,0.5484027290623479,0.5,,
cifar100,m1_glfc,F1,full,leak_tpr1,last_round,6.0,,censored,,,6,0.027399269787455993,0.02346391987101756,0.01,,
cifar100,m1_glfc,F1,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.027399269787455993,0.02346391987101756,0.01,,
cifar100,m2_target,F1,full,acc,n/a,6.0,,censored,,,6,0.8473166666666667,0.8323304166666667,per-task a0(t)=1/classes_seen,,
cifar100,m2_target,F1,full,leak_auc,last_round,6.0,,censored,,,6,0.5749784663890651,0.5680140779965703,0.5,,
cifar100,m2_target,F1,full,leak_auc,trajectory,6.0,,censored,,,6,0.5749784663890651,0.5680140779965703,0.5,,
cifar100,m2_target,F1,full,leak_tpr1,last_round,6.0,,censored,,,6,0.03169317240371026,0.026555046104682622,0.01,,
cifar100,m2_target,F1,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.03169317240371026,0.026555046104682622,0.01,,
cifar100,m3_fot,F1,full,acc,n/a,6.0,,censored,,,6,0.8568666666666669,0.8372491666666667,per-task a0(t)=1/classes_seen,,
cifar100,m3_fot,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.5702032172578567,0.5619960505649524,0.5,,
cifar100,m3_fot,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.5702032172578567,0.5619960505649524,0.5,,
cifar100,m3_fot,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.028893392784758817,0.02408747047989648,0.01,,
cifar100,m3_fot,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.028893392784758817,0.02408747047989648,0.01,,
cifar100,m4_proto,F2,aggregate,acc,n/a,6.0,,censored,,,6,0.8166166666666665,0.8017320833333332,per-task a0(t)=1/classes_seen,,
cifar100,m4_proto,F2,aggregate,leak_auc,last_round,6.0,,censored,,,6,0.681064434196777,0.6761605472213414,0.5,,
cifar100,m4_proto,F2,aggregate,leak_auc,trajectory,6.0,,censored,,,6,0.681064434196777,0.6761605472213414,0.5,,
cifar100,m4_proto,F2,aggregate,leak_tpr1,last_round,6.0,,censored,,,6,0.057633891587206186,0.051352535845206985,0.01,,
cifar100,m4_proto,F2,aggregate,leak_tpr1,trajectory,6.0,,censored,,,6,0.057633891587206186,0.051352535845206985,0.01,,
